 INPUT STRING:	سعر
        LEMMA:	[tuwkap_1]
   UNSPLITVOC:	(tuwkap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuwk+ap
        GLOSS:	tie/ligature/bandage/ties/ligatures/bandages/rabat+[fem.sg.]

 INPUT STRING:	وحركات
     IS_TRANS:	wHrkAt
        INDEX:	P24W2
      OFFSETS:	5-11
       TOKENS:	P24W2-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(wiHarakAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+Harak+At
        GLOSS:	and+movement/activity/organization+[fem.pl.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P24W3
      OFFSETS:	12-13
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مالحقتيش
     IS_TRANS:	mAlHqty$
        INDEX:	P25W1
      OFFSETS:	0-8
       TOKENS:	P25W1-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(mA_loHiqtiy$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+loHiq+tiy+$
        GLOSS:	not+follow/be attached/[help!]/reach+you+not

 INPUT STRING:	تفرخي
     IS_TRANS:	tfrxy
        INDEX:	P25W2
      OFFSETS:	9-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tfrxy)
          POS:	TYPO
          VOC:	tfrxy
        GLOSS:	nogloss

 INPUT STRING:	بالموبايل
     IS_TRANS:	bAlmwbAyl
        INDEX:	P25W3
      OFFSETS:	15-24
       TOKENS:	P25W5-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(bilmuwbAyil)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+muwbAyil
        GLOSS:	with/by+the+mobile phone/Mobile/cell phones/mobiles

 INPUT STRING:	امكانياته
     IS_TRANS:	AmkAnyAth
        INDEX:	P26W1
      OFFSETS:	0-9
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimokAniy~ap_1]
   UNSPLITVOC:	(AimokAniy~Atuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	AimokAniy~+At+uh
        GLOSS:	possibilities/capabilities+[fem.pl.]+his/its

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P26W2
      OFFSETS:	10-14
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	nice+[fem.sg.]

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(y>s)
          POS:	FOREIGN
          VOC:	y>s
        GLOSS:	nogloss

 INPUT STRING:	وسريع
     IS_TRANS:	wsryE
        INDEX:	P27W2
      OFFSETS:	4-9
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sariyE_1]
   UNSPLITVOC:	(wisariyE)
          POS:	CONJ+ADJ
          VOC:	wi+sariyE
        GLOSS:	and+quick/prompt/express/quickly/promptly

