 INPUT STRING:	الستودينت
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P89W4
      OFFSETS:	14-18
       TOKENS:	P89W5-P89W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mohamed/Mohammed/Muhammad

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P89W5
      OFFSETS:	19-23
       TOKENS:	P89W6-P89W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P89W6
      OFFSETS:	24-27
       TOKENS:	P89W7-P89W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مستنية
     IS_TRANS:	mstnyp
        INDEX:	P89W7
      OFFSETS:	28-34
       TOKENS:	P89W8-P89W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotan~iy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misotan~iy~+ap
        GLOSS:	waiting/anticipating+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P90W1
      OFFSETS:	0-2
       TOKENS:	P90W1-P90W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P90W2
      OFFSETS:	2-3
       TOKENS:	P90W2-P90W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P90W3
      OFFSETS:	4-8
       TOKENS:	P90W3-P90W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	وثالث
     IS_TRANS:	wvAlv
        INDEX:	P90W4
      OFFSETS:	9-14
       TOKENS:	P90W4-P90W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(wivAliv)
          POS:	CONJ+ADJ
          VOC:	wi+vAliv
        GLOSS:	and+third

 INPUT STRING:	ورابع
     IS_TRANS:	wrAbE
        INDEX:	P90W5
      OFFSETS:	15-20
       TOKENS:	P90W6-P90W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAbiE_1]
   UNSPLITVOC:	(warAbiE)
          POS:	CONJ+ADJ
          VOC:	wa+rAbiE
        GLOSS:	and+fourth

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P90W6
      OFFSETS:	20-21
       TOKENS:	P90W8-P90W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P91W1
      OFFSETS:	0-2
       TOKENS:	P91W1-P91W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/him

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P91W2
      OFFSETS:	3-6
       TOKENS:	P91W3-P91W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(faroq)
          POS:	NOUN
          VOC:	faroq
        GLOSS:	difference/discrepancy/differences/discrepancies

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P91W3
      OFFSETS:	7-10
       TOKENS:	P91W4-P91W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between

 INPUT STRING:	صلاة
     IS_TRANS:	SlAp
        INDEX:	P91W4
      OFFSETS:	11-15
       TOKENS:	P91W5-P91W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SalAp_1]
   UNSPLITVOC:	(SalAp)
          POS:	NOUN
          VOC:	SalAp
        GLOSS:	prayer/salat/prayers

 INPUT STRING:	ودعاء
     IS_TRANS:	wdEA'
        INDEX:	P91W5
      OFFSETS:	16-21
       TOKENS:	P91W6-P91W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duEA'_1]
   UNSPLITVOC:	(widuEA')
          POS:	CONJ+NOUN
          VOC:	wi+duEA'
        GLOSS:	and+call/request/invocation

 INPUT STRING:	دعيت
     IS_TRANS:	dEyt
        INDEX:	P92W1
      OFFSETS:	0-4
       TOKENS:	P92W1-P92W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(daEiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	daEiy+t
        GLOSS:	pray/pray for+I

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P92W2
      OFFSETS:	5-8
       TOKENS:	P92W2-P92W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P92W3
      OFFSETS:	9-13
       TOKENS:	P92W3-P92W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	سامعني
     IS_TRANS:	sAmEny
        INDEX:	P92W4
      OFFSETS:	14-20
       TOKENS:	P92W5-P92W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAmiE_1]
   UNSPLITVOC:	(sAmiEniy)
          POS:	ADJ+PRON_1S
          VOC:	sAmiE+niy
        GLOSS:	listening/able to hear+I

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P92W5
      OFFSETS:	21-23
       TOKENS:	P92W7-P92W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P92W6
      OFFSETS:	24-28
       TOKENS:	P92W8-P92W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mohamed/Mohammed/Muhammad

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P92W7
      OFFSETS:	29-30
       TOKENS:	P92W9-P92W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P93W1
      OFFSETS:	0-2
       TOKENS:	P93W1-P93W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P93W2
      OFFSETS:	2-3
       TOKENS:	P93W2-P93W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P93W3
      OFFSETS:	4-9
       TOKENS:	P93W3-P93W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	ادعي
     IS_TRANS:	AdEy
        INDEX:	P93W4
      OFFSETS:	10-14
       TOKENS:	P93W5-P93W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(AidoEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AidoE+iy
        GLOSS:	call/invite/be called/be invited+you

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P93W5
      OFFSETS:	15-19
       TOKENS:	P93W6-P93W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P93W6
      OFFSETS:	19-20
       TOKENS:	P93W7-P93W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P93W7
      OFFSETS:	21-23
       TOKENS:	P93W8-P93W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P93W8
      OFFSETS:	24-26
       TOKENS:	P93W9-P93W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تدعي
     IS_TRANS:	tdEy
        INDEX:	P93W9
      OFFSETS:	27-31
       TOKENS:	P93W10-P93W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(tidoEiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+doE+iy
        GLOSS:	you+call/invite/be called/be invited+you

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P93W10
      OFFSETS:	32-34
       TOKENS:	P93W11-P93W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P93W11
      OFFSETS:	35-37
       TOKENS:	P93W12-P93W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	حتستريحي
     IS_TRANS:	HtstryHy
        INDEX:	P93W12
      OFFSETS:	38-46
       TOKENS:	P93W13-P93W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisotaray~aH_1]
   UNSPLITVOC:	(Hatisotaray~aHiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+sotaray~aH+iy
        GLOSS:	will+you+be at rest/relax/be satisfied+you

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P93W13
      OFFSETS:	47-50
       TOKENS:	P93W15-P93W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/entire/every/whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P93W14
      OFFSETS:	51-53
       TOKENS:	P93W17-P93W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	حتحسى
     IS_TRANS:	HtHsY
        INDEX:	P93W15
      OFFSETS:	54-59
       TOKENS:	P93W18-P93W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Has~_1]
   UNSPLITVOC:	(HatiHis~iy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+His~+iy
        GLOSS:	will+you+feel+you

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P93W16
      OFFSETS:	60-62
       TOKENS:	P93W20-P93W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P93W17
      OFFSETS:	63-67
       TOKENS:	P93W21-P93W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	حيفرجها
     IS_TRANS:	HyfrjhA
        INDEX:	P93W18
      OFFSETS:	68-75
       TOKENS:	P93W23-P93W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aforaj_1]
   UNSPLITVOC:	(HayiforijhA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	Ha+yi+forij+hA
        GLOSS:	will+he/it+open/separate+it/them/her

 INPUT STRING:	وحياة
     IS_TRANS:	wHyAp
        INDEX:	P94W1
      OFFSETS:	0-5
       TOKENS:	P94W1-P94W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(waHayAp)
          POS:	PREP+NOUN
          VOC:	wa+HayAp
        GLOSS:	with/by+life/lives

 INPUT STRING:	أمي
     IS_TRANS:	>my
        INDEX:	P94W2
      OFFSETS:	6-9
       TOKENS:	P94W3-P94W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>um~+iy
        GLOSS:	mother/maternal/mothers+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P94W3
      OFFSETS:	10-13
       TOKENS:	P94W5-P94W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P94W4
      OFFSETS:	14-18
       TOKENS:	P94W6-P94W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P94W5
      OFFSETS:	19-21
       TOKENS:	P94W8-P94W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كاتب
     IS_TRANS:	kAtb
        INDEX:	P94W6
      OFFSETS:	22-26
       TOKENS:	P94W9-P94W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAtib_1]
   UNSPLITVOC:	(kAtib)
          POS:	ADJ.VN
          VOC:	kAtib
        GLOSS:	writing

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P94W7
      OFFSETS:	27-29
       TOKENS:	P94W10-P94W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	إني
     IS_TRANS:	<ny
        INDEX:	P94W8
      OFFSETS:	30-33
       TOKENS:	P94W12-P94W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+i

 INPUT STRING:	أهدى
     IS_TRANS:	>hdY
        INDEX:	P94W9
      OFFSETS:	34-38
       TOKENS:	P94W14-P94W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy_1]
   UNSPLITVOC:	(AahodaY)
          POS:	IV1S+IV
          VOC:	Aa+hodaY
        GLOSS:	I+subside/calm down/relaxe/be calm/guide

 INPUT STRING:	أبداً
     IS_TRANS:	>bdAF
        INDEX:	P94W10
      OFFSETS:	39-44
       TOKENS:	P94W15-P94W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>abadAF_1]
   UNSPLITVOC:	(>abadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>abad+AF
        GLOSS:	at all+[acc.indef.]

 INPUT STRING:	ادعي
     IS_TRANS:	AdEy
        INDEX:	P95W1
      OFFSETS:	0-4
       TOKENS:	P95W1-P95W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(AidoEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AidoE+iy
        GLOSS:	call/invite/be called/be invited+you

 INPUT STRING:	وبأدعي
     IS_TRANS:	wb>dEy
        INDEX:	P95W2
      OFFSETS:	5-11
       TOKENS:	P95W2-P95W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(wibAadoEiy)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+doEiy
        GLOSS:	and+[present-tense]+I+call/invite/be called/be invited

 INPUT STRING:	أصلي
     IS_TRANS:	>Sly
        INDEX:	P95W3
      OFFSETS:	12-16
       TOKENS:	P95W5-P95W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(AaSal~iy)
          POS:	IV1S+IV
          VOC:	Aa+Sal~iy
        GLOSS:	I+pray/worship/be worshiped/be prayed

 INPUT STRING:	وصليت
     IS_TRANS:	wSlyt
        INDEX:	P95W4
      OFFSETS:	17-22
       TOKENS:	P95W6-P95W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(wiSal~ayt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+Sal~+ayt
        GLOSS:	and+pray/worship/be worshiped/be prayed+I

 INPUT STRING:	ناو
     IS_TRANS:	nAw
        INDEX:	P95W5
      OFFSETS:	23-26
       TOKENS:	P95W8-P95W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nAw)
          POS:	FOREIGN
          VOC:	nAw
        GLOSS:	nogloss

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P95W6
      OFFSETS:	27-30
       TOKENS:	P95W9-P95W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P95W7
      OFFSETS:	31-35
       TOKENS:	P95W10-P95W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	صلي
     IS_TRANS:	Sly
        INDEX:	P96W1
      OFFSETS:	0-3
       TOKENS:	P96W1-P96W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(Sal~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Sal~+iy
        GLOSS:	pray/worship/be worshiped/be prayed+you

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P96W2
      OFFSETS:	4-8
       TOKENS:	P96W2-P96W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	وثالث
     IS_TRANS:	wvAlv
        INDEX:	P96W3
      OFFSETS:	9-14
       TOKENS:	P96W3-P96W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(wivAliv)
          POS:	CONJ+ADJ
          VOC:	wi+vAliv
        GLOSS:	and+third

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P96W4
      OFFSETS:	14-15
       TOKENS:	P96W5-P96W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	براحتك
     IS_TRANS:	brAHtk
        INDEX:	P97W1
      OFFSETS:	0-6
       TOKENS:	P97W1-P97W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAHap_1]
   UNSPLITVOC:	(birAHtik)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	bi+rAH+ap+ik
        GLOSS:	with/by+rest/repose/leisure/palm of the hand+[fem.sg.]+your

 INPUT STRING:	حأهدى
     IS_TRANS:	H>hdY
        INDEX:	P98W1
      OFFSETS:	0-5
       TOKENS:	P98W1-P98W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy_1]
   UNSPLITVOC:	(HaAahodaY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+hodaY
        GLOSS:	will+I+subside/calm down/relaxe/be calm/guide

 INPUT STRING:	وأكلمك
     IS_TRANS:	w>klmk
        INDEX:	P98W2
      OFFSETS:	6-12
       TOKENS:	P98W3-P98W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(wiAakal~imak)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2MS
          VOC:	wi+Aa+kal~im+ak
        GLOSS:	and+I+talk/speak/talk to+you

