 INPUT STRING:	نوايا
        LEMMA:	[jan~ap_1]
   UNSPLITVOC:	(Aljan~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jan~+ap
        GLOSS:	the+paradise/garden/gardens+[fem.sg.]

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P8W17
      OFFSETS:	60-61
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	9
     IS_TRANS:	9
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P9W2
      OFFSETS:	1-2
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P9W3
      OFFSETS:	3-5
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تكتب
     IS_TRANS:	tktb
        INDEX:	P9W4
      OFFSETS:	6-10
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab-u_1]
   UNSPLITVOC:	(tukotaba)
          POS:	IV2MS+IV_PASS+IVSUFF_MOOD:S
          VOC:	tu+kotab+a
        GLOSS:	you [masc.sg.]+be written/be fated/be destined+[sub.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P9W5
      OFFSETS:	11-13
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الصديقين
     IS_TRANS:	AlSdyqyn
        INDEX:	P9W6
      OFFSETS:	14-22
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(AlSadiyqayoni)
          POS:	DET+NOUN+NSUFF_MASC_DU_ACC
          VOC:	Al+Sadiyq+ayoni
        GLOSS:	the+friend+two [acc.]

 INPUT STRING:	والشهداء
     IS_TRANS:	wAl$hdA'
        INDEX:	P9W7
      OFFSETS:	23-31
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(waAl$uhadA')
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+$uhadA'
        GLOSS:	and+the+martyrs

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P9W8
      OFFSETS:	32-33
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	أرأيت
     IS_TRANS:	>r>yt
        INDEX:	P9W9
      OFFSETS:	33-38
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aro>aY_1]
   UNSPLITVOC:	(>aro>ayota)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	>aro>ay+ta
        GLOSS:	show/demonstrate+you [masc.sg.] [verb]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P9W10
      OFFSETS:	39-41
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	صليت
     IS_TRANS:	Slyt
        INDEX:	P9W11
      OFFSETS:	42-46
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(Sal~ayotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Sal~ay+tu
        GLOSS:	pray/worship+I [verb]

 INPUT STRING:	الصلوات
     IS_TRANS:	AlSlwAt
        INDEX:	P9W12
      OFFSETS:	47-54
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[SalAp_1]
   UNSPLITVOC:	(AlSalawAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Salaw+At
        GLOSS:	the+prayers+[fem.pl.]

 INPUT STRING:	الخمس
     IS_TRANS:	Alxms
        INDEX:	P9W13
      OFFSETS:	55-60
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xamos_1]
   UNSPLITVOC:	(Alxamos)
          POS:	DET+NOUN_NUM
          VOC:	Al+xamos
        GLOSS:	the+five

 INPUT STRING:	وأديت
     IS_TRANS:	w>dyt
        INDEX:	P9W14
      OFFSETS:	61-66
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ad~aY_2]
   UNSPLITVOC:	(wa>ad~ayotu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wa+>ad~ay+tu
        GLOSS:	and+perform (function)/carry out (duty)+I [verb]

 INPUT STRING:	الزكاة
     IS_TRANS:	AlzkAp
        INDEX:	P9W15
      OFFSETS:	67-73
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zakAp_1]
   UNSPLITVOC:	(AlzakAp)
          POS:	DET+NOUN
          VOC:	Al+zakAp
        GLOSS:	the+alms/charity/purity/honesty/integrity

 INPUT STRING:	وصمت
     IS_TRANS:	wSmt
        INDEX:	P9W16
      OFFSETS:	74-78
       TOKENS:	P9W18-P9W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SAm-u_1]
   UNSPLITVOC:	(waSumotu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wa+Sum+tu
        GLOSS:	and+abstain/fast+I [verb]

 INPUT STRING:	رمضان
     IS_TRANS:	rmDAn
        INDEX:	P9W17
      OFFSETS:	79-84
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaDAn_1]
   UNSPLITVOC:	(ramaDAn)
          POS:	NOUN_PROP
          VOC:	ramaDAn
        GLOSS:	Ramadan

 INPUT STRING:	وقمته
     IS_TRANS:	wqmth
        INDEX:	P9W18
      OFFSETS:	85-90
       TOKENS:	P9W21-P9W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm-u_1]
   UNSPLITVOC:	(waqumotuhu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3MS
          VOC:	wa+qum+tu+hu
        GLOSS:	and+undertake/carry out+I [verb]+it/him

 INPUT STRING:	فممن
     IS_TRANS:	fmmn
        INDEX:	P9W19
      OFFSETS:	91-95
       TOKENS:	P9W24-P9W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mim~an_1]
   UNSPLITVOC:	(famim~an)
          POS:	CONJ+PREP+REL_PRON
          VOC:	fa+min+man
        GLOSS:	so/and+from+whom

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P9W20
      OFFSETS:	96-98
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>n)
          POS:	TYPO
          VOC:	>n
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W21
      OFFSETS:	98-99
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P9W22
      OFFSETS:	100-103
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P9W23
      OFFSETS:	103-104
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	صلَ
     IS_TRANS:	Sla
        INDEX:	P9W24
      OFFSETS:	104-107
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Sla)
          POS:	TYPO
          VOC:	Sla
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W25
      OFFSETS:	108-112
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`hu)
          POS:	NOUN_PROP+CASE_DEF_NOM
          VOC:	All~`h+u
        GLOSS:	Allah/God+[def.nom.]

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P9W26
      OFFSETS:	113-117
       TOKENS:	P9W33-P9W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhi)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+hi
        GLOSS:	on/above+it/him

 INPUT STRING:	وسلم
     IS_TRANS:	wslm
        INDEX:	P9W27
      OFFSETS:	118-122
       TOKENS:	P9W35-P9W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sal~am_1]
   UNSPLITVOC:	(wasal~ama)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wa+sal~am+a
        GLOSS:	and+hand over/surrender/greet+he/it [verb]

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P9W28
      OFFSETS:	123-124
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W29
      OFFSETS:	125-127
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصديقين
     IS_TRANS:	AlSdyqyn
        INDEX:	P9W30
      OFFSETS:	128-136
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[S~id~iyq_1]
   UNSPLITVOC:	(AlS~id~iyqiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+S~id~iyq+iyn
        GLOSS:	the+veracious/honest+[pl.]

 INPUT STRING:	والشهداء
     IS_TRANS:	wAl$hdA'
        INDEX:	P9W31
      OFFSETS:	137-145
       TOKENS:	P9W40-P9W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(waAl$uhadA')
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+$uhadA'
        GLOSS:	and+the+martyrs

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P9W32
      OFFSETS:	145-146
       TOKENS:	P9W42-P9W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	8
     IS_TRANS:	8
        INDEX:	P10W1
      OFFSETS:	0-1
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(8)
          POS:	NOUN_NUM
          VOC:	8
        GLOSS:	8

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P10W2
      OFFSETS:	1-2
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P10W3
      OFFSETS:	3-5
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تنال
     IS_TRANS:	tnAl
        INDEX:	P10W4
      OFFSETS:	6-10
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAl-a_1]
   UNSPLITVOC:	(tanAla)
          POS:	IV2MS+IV+IVSUFF_MOOD:S
          VOC:	ta+nAl+a
        GLOSS:	you [masc.sg.]+attain/achieve/acquire+[sub.]

 INPUT STRING:	شفاعة
     IS_TRANS:	$fAEp
        INDEX:	P10W5
      OFFSETS:	11-16
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$afAEap_1]
   UNSPLITVOC:	($afAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$afAE+ap
        GLOSS:	mediation/intercession+[fem.sg.]

 INPUT STRING:	الصوم
     IS_TRANS:	AlSwm
        INDEX:	P10W6
      OFFSETS:	17-22
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawm_1]
   UNSPLITVOC:	(AlSawm)
          POS:	DET+NOUN
          VOC:	Al+Sawm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P10W7
      OFFSETS:	23-24
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	القرآن
     IS_TRANS:	Alqr|n
        INDEX:	P10W8
      OFFSETS:	24-30
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[quro|n_1]
   UNSPLITVOC:	(Alquro|n)
          POS:	DET+NOUN_PROP
          VOC:	Al+quro|n
        GLOSS:	the+Quran

 INPUT STRING:	والصيام
     IS_TRANS:	wAlSyAm
        INDEX:	P10W9
      OFFSETS:	31-38
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(wiAlSiyAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+SiyAm
        GLOSS:	and+the+fasting/abstinence

 INPUT STRING:	يشفعان
     IS_TRANS:	y$fEAn
        INDEX:	P10W10
      OFFSETS:	39-45
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$afaE-a_1]
   UNSPLITVOC:	(ya$ofaEAni)
          POS:	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:I
          VOC:	ya+$ofaE+Ani
        GLOSS:	they (both)+intercede/mediate (for)+[du.]

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P10W11
      OFFSETS:	45-46
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P11W2
      OFFSETS:	3-5
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P11W3
      OFFSETS:	6-12
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P11W4
      OFFSETS:	13-15
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P11W5
      OFFSETS:	16-19
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W6
      OFFSETS:	20-24
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	تخدي
     IS_TRANS:	txdy
        INDEX:	P11W7
      OFFSETS:	25-29
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aaxa*_1]
   UNSPLITVOC:	(tixdiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+xd+iy
        GLOSS:	you+take+you

 INPUT STRING:	الثواب
     IS_TRANS:	AlvwAb
        INDEX:	P11W8
      OFFSETS:	30-36
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawAb_1]
   UNSPLITVOC:	(AlvawAb)
          POS:	DET+NOUN
          VOC:	Al+vawAb
        GLOSS:	the+recompense/reward

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P11W9
      OFFSETS:	37-38
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P11W10
      OFFSETS:	38-39
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P12W2
      OFFSETS:	3-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	تفطريه
     IS_TRANS:	tfTryh
        INDEX:	P12W3
      OFFSETS:	7-13
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiTir_1]
   UNSPLITVOC:	(tifoTariyh)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	ti+foTar+iy+uh
        GLOSS:	you [fem.sg.]+break the fast/have breakfast+[fem.sg.]+it/him

 INPUT STRING:	تطعمي
     IS_TRANS:	tTEmy
        INDEX:	P12W4
      OFFSETS:	14-19
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aToEam_1]
   UNSPLITVOC:	(tuToEimiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ
          VOC:	tu+ToEim+iy
        GLOSS:	you [fem.sg.]+feed+[fem.sg.]

 INPUT STRING:	مسكين
     IS_TRANS:	mskyn
        INDEX:	P12W5
      OFFSETS:	20-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misokiyn_1]
   UNSPLITVOC:	(misokiyn)
          POS:	ADJ
          VOC:	misokiyn
        GLOSS:	needy/poor

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P12W6
      OFFSETS:	26-30
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhi)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+hi
        GLOSS:	on/above+it/him

 INPUT STRING:	وتبقي
     IS_TRANS:	wtbqy
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(witiboqiy)
          POS:	CONJ+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wi+ti+boq+iy
        GLOSS:	and+you+become/begin/start/be/begin a new day+you

 INPUT STRING:	تصوميه
     IS_TRANS:	tSwmyh
        INDEX:	P13W2
      OFFSETS:	6-12
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SAm_1]
   UNSPLITVOC:	(tiSuwmiyuh)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	ti+Suwm+iy+uh
        GLOSS:	you+abstain/fast+[fem.sg.]+it/him

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P13W3
      OFFSETS:	13-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P13W4
      OFFSETS:	18-20
       TOKENS:	P13W6-P13W6
