 INPUT STRING:	الورو
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	لأاسف
     IS_TRANS:	l>Asf
        INDEX:	P44W2
      OFFSETS:	3-8
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(l>Asf)
          POS:	TYPO
          VOC:	l>Asf
        GLOSS:	nogloss

 INPUT STRING:	بيبقى
     IS_TRANS:	bybqY
        INDEX:	P44W3
      OFFSETS:	9-14
       TOKENS:	P44W3-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(biyiboqaY)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+boqaY
        GLOSS:	[present-tense]+he/it+become/begin/start/be/begin a new day

 INPUT STRING:	تلت
     IS_TRANS:	tlt
        INDEX:	P44W4
      OFFSETS:	15-18
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilot_1]
   UNSPLITVOC:	(tilot)
          POS:	NOUN_QUANT
          VOC:	tilot
        GLOSS:	thirds/(one) third/one third/third/third time

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P44W5
      OFFSETS:	19-21
       TOKENS:	P44W6-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	كت
     IS_TRANS:	kt
        INDEX:	P44W6
      OFFSETS:	22-24
       TOKENS:	P44W7-P44W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kt)
          POS:	FOREIGN
          VOC:	kt
        GLOSS:	nogloss

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P45W1
      OFFSETS:	0-5
       TOKENS:	P45W1-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+uh+$
        GLOSS:	is not+there is+him/it+not

 INPUT STRING:	بكم
     IS_TRANS:	bkm
        INDEX:	P45W2
      OFFSETS:	6-9
       TOKENS:	P45W5-P45W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kum~_1]
   UNSPLITVOC:	(bikum~)
          POS:	PREP+NOUN
          VOC:	bi+kum~
        GLOSS:	with/by+armhole

 INPUT STRING:	منفوش
     IS_TRANS:	mnfw$
        INDEX:	P45W3
      OFFSETS:	10-15
       TOKENS:	P45W7-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manofuw$_1]
   UNSPLITVOC:	(manofuw$)
          POS:	ADJ
          VOC:	manofuw$
        GLOSS:	inflated

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P46W1
      OFFSETS:	0-4
       TOKENS:	P46W1-P46W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P46W2
      OFFSETS:	5-7
       TOKENS:	P46W2-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P46W3
      OFFSETS:	8-12
       TOKENS:	P46W3-P46W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	درس
     IS_TRANS:	drs
        INDEX:	P46W4
      OFFSETS:	13-16
       TOKENS:	P46W4-P46W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(drs)
          POS:	FOREIGN
          VOC:	drs
        GLOSS:	nogloss

 INPUT STRING:	تلت
     IS_TRANS:	tlt
        INDEX:	P46W5
      OFFSETS:	17-20
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilot_1]
   UNSPLITVOC:	(tilot)
          POS:	NOUN_QUANT
          VOC:	tilot
        GLOSS:	thirds/(one) third/one third/third/third time

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P46W6
      OFFSETS:	21-22
       TOKENS:	P46W6-P46W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ماركة
     IS_TRANS:	mArkp
        INDEX:	P46W7
      OFFSETS:	23-28
       TOKENS:	P46W7-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mArokap_1]
   UNSPLITVOC:	(mArokap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mArok+ap
        GLOSS:	trademark+[fem.sg.]

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P46W8
      OFFSETS:	29-34
       TOKENS:	P46W8-P46W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(<isomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<isom+hA
        GLOSS:	name/names+its/their/her

 INPUT STRING:	اتش
     IS_TRANS:	At$
        INDEX:	P46W9
      OFFSETS:	35-38
       TOKENS:	P46W10-P46W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait$_1]
   UNSPLITVOC:	(Ait$)
          POS:	NOUN_PROP
          VOC:	Ait$
        GLOSS:	H

 INPUT STRING:	اند
     IS_TRANS:	And
        INDEX:	P46W10
      OFFSETS:	39-42
       TOKENS:	P46W11-P46W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>and_1]
   UNSPLITVOC:	(>and)
          POS:	NOUN_PROP
          VOC:	>and
        GLOSS:	and

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P46W11
      OFFSETS:	43-45
       TOKENS:	P46W12-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aim_1]
   UNSPLITVOC:	(Aim)
          POS:	NOUN_PROP
          VOC:	Aim
        GLOSS:	M

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P47W1
      OFFSETS:	0-4
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	دسكونت
     IS_TRANS:	dskwnt
        INDEX:	P47W2
      OFFSETS:	5-11
       TOKENS:	P47W2-P47W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dskwnt)
          POS:	FOREIGN
          VOC:	dskwnt
        GLOSS:	nogloss

 INPUT STRING:	رهيب
     IS_TRANS:	rhyb
        INDEX:	P47W3
      OFFSETS:	12-16
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rahiyb_1]
   UNSPLITVOC:	(rahiyb)
          POS:	ADJ
          VOC:	rahiyb
        GLOSS:	dreadful/fearful/serious

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P47W4
      OFFSETS:	17-19
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P47W5
      OFFSETS:	20-22
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biy)
          POS:	PREP
          VOC:	biy
        GLOSS:	with/by

 INPUT STRING:	70
     IS_TRANS:	70
        INDEX:	P47W6
      OFFSETS:	23-25
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[70_1]
   UNSPLITVOC:	(70)
          POS:	NOUN_NUM
          VOC:	70
        GLOSS:	70

 INPUT STRING:	جنية
     IS_TRANS:	jnyp
        INDEX:	P47W7
      OFFSETS:	25-29
       TOKENS:	P47W7-P47W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)/pounds (currency)/pound/one pound/golden pound/a pound/touched in the head/stolen

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P48W1
      OFFSETS:	0-2
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P48W2
      OFFSETS:	3-5
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P48W3
      OFFSETS:	6-8
       TOKENS:	P48W3-P48W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	باين
     IS_TRANS:	bAyn
        INDEX:	P48W4
      OFFSETS:	9-13
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAyin_1]
   UNSPLITVOC:	(bAyin)
          POS:	ADJ.VN
          VOC:	bAyin
        GLOSS:	evident/plain

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P48W5
      OFFSETS:	14-16
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P48W6
      OFFSETS:	17-23
       TOKENS:	P48W6-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P48W7
      OFFSETS:	24-27
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	sweet/pleasant

 INPUT STRING:	طالع
     IS_TRANS:	TAlE
        INDEX:	P49W1
      OFFSETS:	0-4
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAliE_1]
   UNSPLITVOC:	(TAliE)
          POS:	ADJ
          VOC:	TAliE
        GLOSS:	rising/ascending

 INPUT STRING:	جلبيه
     IS_TRANS:	jlbyh
        INDEX:	P49W2
      OFFSETS:	5-10
       TOKENS:	P49W2-P49W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jalabiy~ap_1]
   UNSPLITVOC:	(jalabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jalabiy~+ap
        GLOSS:	gallabiya (gown)+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P50W1
      OFFSETS:	0-2
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P50W2
      OFFSETS:	3-5
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وحش
     IS_TRANS:	wH$
        INDEX:	P50W3
      OFFSETS:	6-9
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHi$)
          POS:	ADJ
          VOC:	wiHi$
        GLOSS:	wicked/evil/bad guy (film)/bad

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P51W1
      OFFSETS:	0-2
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P51W2
      OFFSETS:	3-5
       TOKENS:	P51W2-P51W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P51W3
      OFFSETS:	6-9
       TOKENS:	P51W3-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	sweet/pleasant

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P51W4
      OFFSETS:	10-11
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P51W5
      OFFSETS:	12-14
       TOKENS:	P51W5-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/him

 INPUT STRING:	جلد
     IS_TRANS:	jld
        INDEX:	P51W6
      OFFSETS:	15-18
       TOKENS:	P51W7-P51W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jilod_1]
   UNSPLITVOC:	(jilod)
          POS:	NOUN
          VOC:	jilod
        GLOSS:	skin/leather

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P51W7
      OFFSETS:	19-22
       TOKENS:	P51W8-P51W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(fuwq)
          POS:	NOUN
          VOC:	fuwq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P51W8
      OFFSETS:	23-25
       TOKENS:	P51W9-P51W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكتف
     IS_TRANS:	Alktf
        INDEX:	P51W9
      OFFSETS:	26-31
       TOKENS:	P51W10-P51W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitof_1]
   UNSPLITVOC:	(Alkitof)
          POS:	DET+NOUN
          VOC:	Al+kitof
        GLOSS:	the+buttress/buttresses

 INPUT STRING:	الاسود
     IS_TRANS:	AlAswd
        INDEX:	P51W10
      OFFSETS:	32-38
       TOKENS:	P51W11-P51W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlAisowid_1]
   UNSPLITVOC:	(AlAisowid)
          POS:	DET+ADJ
          VOC:	Al+Aisowid
        GLOSS:	the+black/dark

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P51W11
      OFFSETS:	39-41
       TOKENS:	P51W12-P51W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P51W12
      OFFSETS:	42-43
       TOKENS:	P51W13-P51W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P51W13
      OFFSETS:	44-46
       TOKENS:	P51W14-P51W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	لونه
     IS_TRANS:	lwnh
        INDEX:	P51W14
      OFFSETS:	47-51
       TOKENS:	P51W15-P51W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[luwn_1]
   UNSPLITVOC:	(luwnuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	luwn+uh
        GLOSS:	color/tint/colors/tints/type/sort/types/sorts+his/its

 INPUT STRING:	كموني
     IS_TRANS:	kmwny
        INDEX:	P51W15
      OFFSETS:	52-57
       TOKENS:	P51W17-P51W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kam~uwniy_1]
   UNSPLITVOC:	(kam~uwniy)
          POS:	ADJ
          VOC:	kam~uwniy
        GLOSS:	cumin

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P51W16
      OFFSETS:	58-59
       TOKENS:	P51W18-P51W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P51W17
      OFFSETS:	60-63
       TOKENS:	P51W19-P51W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الهنش
     IS_TRANS:	Alhn$
        INDEX:	P51W18
      OFFSETS:	64-69
       TOKENS:	P51W20-P51W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alhn$)
          POS:	FOREIGN
          VOC:	Alhn$
        GLOSS:	nogloss

 INPUT STRING:	ههههههه
     IS_TRANS:	hhhhhhh
        INDEX:	P52W1
      OFFSETS:	0-7
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hahahahahahah)
          POS:	INTERJ
          VOC:	hahahahahahah
        GLOSS:	lauhing

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P53W1
      OFFSETS:	0-3
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	متاكدا
     IS_TRANS:	mtAkdA
        INDEX:	P53W2
      OFFSETS:	4-10
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muta>ak~id_1]
   UNSPLITVOC:	(muta>ak~idaA)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muta>ak~id+ap
        GLOSS:	certain/sure+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P53W3
      OFFSETS:	11-14
       TOKENS:	P53W3-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P53W4
      OFFSETS:	15-17
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيعجبك
     IS_TRANS:	hyEjbk
        INDEX:	P53W5
      OFFSETS:	18-24
       TOKENS:	P53W6-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(HayiEojibik)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:2FS
          VOC:	Ha+yi+Eojib+ik
        GLOSS:	will+he/it+delight/admire/like/be amazed/liked/arouse admiration/please+you

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P54W1
      OFFSETS:	0-2
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P54W2
      OFFSETS:	3-5
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P54W3
      OFFSETS:	6-8
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البس
     IS_TRANS:	Albs
        INDEX:	P54W4
      OFFSETS:	9-13
       TOKENS:	P54W4-P54W4
