 INPUT STRING:	يوسف
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W5
      OFFSETS:	16-18
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P30W6
      OFFSETS:	19-24
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P30W7
      OFFSETS:	25-29
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P30W8
      OFFSETS:	30-34
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	NOUN
          VOC:	xAliS
        GLOSS:	pure/clear/sincere/very/absolutely

 INPUT STRING:	بروجكت
     IS_TRANS:	brwjkt
        INDEX:	P31W1
      OFFSETS:	0-6
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brwjkt)
          POS:	FOREIGN
          VOC:	brwjkt
        GLOSS:	nogloss

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P31W2
      OFFSETS:	7-10
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P31W3
      OFFSETS:	11-15
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P32W1
      OFFSETS:	0-3
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P32W2
      OFFSETS:	4-7
       TOKENS:	P32W2-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+him/it

 INPUT STRING:	توه
     IS_TRANS:	twh
        INDEX:	P32W3
      OFFSETS:	8-11
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twh)
          POS:	FOREIGN
          VOC:	twh
        GLOSS:	nogloss

 INPUT STRING:	جروبس
     IS_TRANS:	jrwbs
        INDEX:	P32W4
      OFFSETS:	12-17
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jrwbs)
          POS:	FOREIGN
          VOC:	jrwbs
        GLOSS:	nogloss

 INPUT STRING:	جروب
     IS_TRANS:	jrwb
        INDEX:	P32W5
      OFFSETS:	18-22
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juruwb_1]
   UNSPLITVOC:	(juruwb)
          POS:	NOUN
          VOC:	juruwb
        GLOSS:	group

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P32W6
      OFFSETS:	23-27
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	senior/major/large/big/important/great

 INPUT STRING:	حيعمل
     IS_TRANS:	HyEml
        INDEX:	P32W7
      OFFSETS:	28-33
       TOKENS:	P32W8-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HayiEomil)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Eomil
        GLOSS:	will+he/it+function/make/act/do

 INPUT STRING:	كار
     IS_TRANS:	kAr
        INDEX:	P32W8
      OFFSETS:	34-37
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAr)
          POS:	FOREIGN
          VOC:	kAr
        GLOSS:	nogloss

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P32W9
      OFFSETS:	38-43
       TOKENS:	P32W11-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	حنعمل
     IS_TRANS:	HnEml
        INDEX:	P32W10
      OFFSETS:	44-49
       TOKENS:	P32W13-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HaniEomil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Eomil
        GLOSS:	will+we+function/make/act/do

 INPUT STRING:	مسكال
     IS_TRANS:	mskAl
        INDEX:	P32W11
      OFFSETS:	50-55
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mskAl)
          POS:	FOREIGN
          VOC:	mskAl
        GLOSS:	nogloss

 INPUT STRING:	تيس
     IS_TRANS:	tys
        INDEX:	P32W12
      OFFSETS:	56-59
       TOKENS:	P32W16-P32W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tys)
          POS:	TYPO
          VOC:	tys
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P32W13
      OFFSETS:	60-62
       TOKENS:	P32W17-P32W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lh)
          POS:	FOREIGN
          VOC:	lh
        GLOSS:	nogloss

 INPUT STRING:	كول
     IS_TRANS:	kwl
        INDEX:	P32W14
      OFFSETS:	63-66
       TOKENS:	P32W18-P32W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwl)
          POS:	FOREIGN
          VOC:	kwl
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P33W2
      OFFSETS:	3-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	تفهمي
     IS_TRANS:	tfhmy
        INDEX:	P33W3
      OFFSETS:	9-14
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(tifohamiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+foham+iy
        GLOSS:	you+understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive+[fem.sg.]

 INPUT STRING:	البروجكت
     IS_TRANS:	Albrwjkt
        INDEX:	P33W4
      OFFSETS:	15-23
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Albrwjkt)
          POS:	FOREIGN
          VOC:	Albrwjkt
        GLOSS:	nogloss

 INPUT STRING:	بتاعنا
     IS_TRANS:	btAEnA
        INDEX:	P33W5
      OFFSETS:	24-30
       TOKENS:	P33W5-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bitAE+nA
        GLOSS:	owners/something/belongings+our

 INPUT STRING:	خشي
     IS_TRANS:	x$y
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xa$~_1]
   UNSPLITVOC:	(xu$~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xu$~+iy
        GLOSS:	enter+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P34W2
      OFFSETS:	4-7
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	يوتيوب
     IS_TRANS:	ywtywb
        INDEX:	P34W3
      OFFSETS:	8-14
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwtyuwb_1]
   UNSPLITVOC:	(yuwtyuwb)
          POS:	NOUN
          VOC:	yuwtyuwb
        GLOSS:	youtube

 INPUT STRING:	وطيب
     IS_TRANS:	wTyb
        INDEX:	P34W4
      OFFSETS:	15-19
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wTyb)
          POS:	FOREIGN
          VOC:	wTyb
        GLOSS:	nogloss

 INPUT STRING:	بيرات
     IS_TRANS:	byrAt
        INDEX:	P34W5
      OFFSETS:	20-25
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byrAt)
          POS:	FOREIGN
          VOC:	byrAt
        GLOSS:	nogloss

 INPUT STRING:	عف
     IS_TRANS:	Ef
        INDEX:	P34W6
      OFFSETS:	26-28
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Ef)
          POS:	TYPO
          VOC:	Ef
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P34W7
      OFFSETS:	29-31
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lA)
          POS:	TYPO
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	كاريبي
     IS_TRANS:	kAryby
        INDEX:	P34W8
      OFFSETS:	32-38
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAryby)
          POS:	FOREIGN
          VOC:	kAryby
        GLOSS:	nogloss

 INPUT STRING:	تيس
     IS_TRANS:	tys
        INDEX:	P34W9
      OFFSETS:	39-42
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tys)
          POS:	TYPO
          VOC:	tys
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P34W10
      OFFSETS:	43-45
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lh)
          POS:	FOREIGN
          VOC:	lh
        GLOSS:	nogloss

 INPUT STRING:	كول
     IS_TRANS:	kwl
        INDEX:	P34W11
      OFFSETS:	46-49
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwl)
          POS:	FOREIGN
          VOC:	kwl
        GLOSS:	nogloss

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P35W2
      OFFSETS:	5-10
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	سوندتراك
     IS_TRANS:	swndtrAk
        INDEX:	P35W3
      OFFSETS:	11-19
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(swndtrAk)
          POS:	FOREIGN
          VOC:	swndtrAk
        GLOSS:	nogloss

 INPUT STRING:	بتاعة
     IS_TRANS:	btAEp
        INDEX:	P35W4
      OFFSETS:	20-25
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	owners/something/belongings+[fem.sg.]

 INPUT STRING:	بيرات
     IS_TRANS:	byrAt
        INDEX:	P35W5
      OFFSETS:	26-31
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byrAt)
          POS:	FOREIGN
          VOC:	byrAt
        GLOSS:	nogloss

 INPUT STRING:	عف
     IS_TRANS:	Ef
        INDEX:	P35W6
      OFFSETS:	32-34
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Ef)
          POS:	TYPO
          VOC:	Ef
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P35W7
      OFFSETS:	35-37
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	كاريبي
     IS_TRANS:	kAryby
        INDEX:	P35W8
      OFFSETS:	38-44
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAryby)
          POS:	FOREIGN
          VOC:	kAryby
        GLOSS:	nogloss

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P35W9
      OFFSETS:	45-47
       TOKENS:	P35W9-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P36W1
      OFFSETS:	0-2
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	حتفحمي
     IS_TRANS:	HtfHmy
        INDEX:	P37W1
      OFFSETS:	0-6
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HtfHmy)
          POS:	TYPO
          VOC:	HtfHmy
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P37W2
      OFFSETS:	7-10
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تتفرجي
     IS_TRANS:	ttfrjy
        INDEX:	P37W3
      OFFSETS:	11-17
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(titofar~ajiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+tofar~aj+iy
        GLOSS:	you+watch/observe+[fem.sg.]

 INPUT STRING:	عالفيديو
     IS_TRANS:	EAlfydyw
        INDEX:	P37W4
      OFFSETS:	18-26
       TOKENS:	P37W4-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(EaAlfiydyuw)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+fiydyuw
        GLOSS:	on/above+the+video/videos

 INPUT STRING:	حأتفرج
     IS_TRANS:	H>tfrj
        INDEX:	P38W1
      OFFSETS:	0-6
       TOKENS:	P38W1-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(HaAatofar~aj)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+tofar~aj
        GLOSS:	will+I+watch/observe

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P38W2
      OFFSETS:	7-10
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(End)
          POS:	FOREIGN
          VOC:	End
        GLOSS:	nogloss

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P38W3
      OFFSETS:	11-13
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Al)
          POS:	FOREIGN
          VOC:	Al
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P38W4
      OFFSETS:	14-16
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kl)
          POS:	FOREIGN
          VOC:	kl
        GLOSS:	nogloss

 INPUT STRING:	يو
     IS_TRANS:	yw
        INDEX:	P38W5
      OFFSETS:	17-19
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yw)
          POS:	FOREIGN
          VOC:	yw
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P38W6
      OFFSETS:	20-24
       TOKENS:	P38W7-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	أعرف
     IS_TRANS:	>Erf
        INDEX:	P38W7
      OFFSETS:	25-29
       TOKENS:	P38W9-P38W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	أفهم
     IS_TRANS:	>fhm
        INDEX:	P38W8
      OFFSETS:	30-34
       TOKENS:	P38W10-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(Aafoham)
          POS:	IV1S+IV
          VOC:	Aa+foham
        GLOSS:	I+understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P39W1
      OFFSETS:	0-3
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P39W2
      OFFSETS:	4-8
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P40W1
      OFFSETS:	0-5
       TOKENS:	P40W1-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present-tense]+you+function/make/act/do

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P40W2
      OFFSETS:	6-9
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P40W3
      OFFSETS:	9-10
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P40W4
      OFFSETS:	10-11
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	بأذاكر
     IS_TRANS:	b>*Akr
        INDEX:	P41W1
      OFFSETS:	0-6
       TOKENS:	P41W1-P41W2
