 INPUT STRING:	شكلك
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P49W1
      OFFSETS:	0-4
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P49W2
      OFFSETS:	5-7
       TOKENS:	P49W2-P49W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P49W3
      OFFSETS:	8-11
       TOKENS:	P49W3-P49W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(whw)
          POS:	FOREIGN
          VOC:	whw
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P49W4
      OFFSETS:	12-14
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P49W5
      OFFSETS:	15-18
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	وإيه
     IS_TRANS:	w<yh
        INDEX:	P50W1
      OFFSETS:	0-4
       TOKENS:	P50W1-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(wi<iyh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+<iyh
        GLOSS:	and+what

 INPUT STRING:	أخبار
     IS_TRANS:	>xbAr
        INDEX:	P50W2
      OFFSETS:	5-10
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobAr)
          POS:	NOUN
          VOC:	>axobAr
        GLOSS:	news/report/reports

 INPUT STRING:	جوهري
     IS_TRANS:	jwhry
        INDEX:	P50W3
      OFFSETS:	11-16
       TOKENS:	P50W4-P50W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwhariy_1]
   UNSPLITVOC:	(juwhariy)
          POS:	NOUN_PROP
          VOC:	juwhariy
        GLOSS:	Gohary

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P50W4
      OFFSETS:	16-17
       TOKENS:	P50W5-P50W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	خالو
     IS_TRANS:	xAlw
        INDEX:	P51W1
      OFFSETS:	0-4
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAl_1]
   UNSPLITVOC:	(xAluw)
          POS:	NOUN
          VOC:	xAluw
        GLOSS:	uncle

 INPUT STRING:	ومرات
     IS_TRANS:	wmrAt
        INDEX:	P51W2
      OFFSETS:	5-10
       TOKENS:	P51W2-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mirAt_1]
   UNSPLITVOC:	(wimirAt)
          POS:	CONJ+NOUN
          VOC:	wi+mirAt
        GLOSS:	and+wife

 INPUT STRING:	خالو
     IS_TRANS:	xAlw
        INDEX:	P51W3
      OFFSETS:	11-15
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAl_1]
   UNSPLITVOC:	(xAluw)
          POS:	NOUN
          VOC:	xAluw
        GLOSS:	uncle

 INPUT STRING:	وصحابه
     IS_TRANS:	wSHAbh
        INDEX:	P51W4
      OFFSETS:	16-22
       TOKENS:	P51W5-P51W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(wiSuHAbuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+SuHAb+uh
        GLOSS:	and+owner/originator/owners/originators/friend/companion/friends/companions+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P52W1
      OFFSETS:	0-3
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	وجوهري
     IS_TRANS:	wjwhry
        INDEX:	P52W2
      OFFSETS:	4-10
       TOKENS:	P52W2-P52W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwhariy_1]
   UNSPLITVOC:	(wijuwhariy)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+juwhariy
        GLOSS:	and+Gohary

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P52W3
      OFFSETS:	11-13
       TOKENS:	P52W4-P52W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	سنك
     IS_TRANS:	snk
        INDEX:	P52W4
      OFFSETS:	14-17
       TOKENS:	P52W5-P52W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(snk)
          POS:	FOREIGN
          VOC:	snk
        GLOSS:	nogloss

 INPUT STRING:	بتر
     IS_TRANS:	btr
        INDEX:	P52W5
      OFFSETS:	18-21
       TOKENS:	P52W6-P52W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(btr)
          POS:	FOREIGN
          VOC:	btr
        GLOSS:	nogloss

 INPUT STRING:	حأحكي
     IS_TRANS:	H>Hky
        INDEX:	P53W1
      OFFSETS:	0-5
       TOKENS:	P53W1-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(HaAaHokiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Hokiy
        GLOSS:	will+I+relate/report/tell/be related/be reported/be told

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P53W2
      OFFSETS:	6-8
       TOKENS:	P53W3-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P53W3
      OFFSETS:	9-13
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P53W4
      OFFSETS:	14-18
       TOKENS:	P53W6-P53W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	أفوق
     IS_TRANS:	>fwq
        INDEX:	P53W5
      OFFSETS:	19-23
       TOKENS:	P53W7-P53W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(Aafuwq)
          POS:	IV1S+IV
          VOC:	Aa+fuwq
        GLOSS:	I+wake up

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P53W6
      OFFSETS:	24-26
       TOKENS:	P53W8-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P54W1
      OFFSETS:	0-5
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P54W2
      OFFSETS:	6-9
       TOKENS:	P54W2-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

