 INPUT STRING:	طيب
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	quwl+t
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	ليش
     IS_TRANS:	ly$
        INDEX:	P73W3
      OFFSETS:	8-11
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ly$)
          POS:	NO_FUNC
          VOC:	ly$
        GLOSS:	nogloss

 INPUT STRING:	الضغوط
     IS_TRANS:	AlDgwT
        INDEX:	P73W4
      OFFSETS:	12-18
       TOKENS:	P73W4-P73W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DagoT_2]
   UNSPLITVOC:	(AlDuguwT)
          POS:	DET+NOUN
          VOC:	Al+DuguwT
        GLOSS:	the+pressing/pushing/pressure/stress/voltage/pressures/stresses

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P73W5
      OFFSETS:	19-23
       TOKENS:	P73W5-P73W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P73W6
      OFFSETS:	24-28
       TOKENS:	P73W6-P73W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaYak)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P73W7
      OFFSETS:	29-30
       TOKENS:	P73W8-P73W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P73W8
      OFFSETS:	30-31
       TOKENS:	P73W9-P73W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عيب
     IS_TRANS:	Eyb
        INDEX:	P74W1
      OFFSETS:	0-3
       TOKENS:	P74W1-P74W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayb_1]
   UNSPLITVOC:	(Eiyb)
          POS:	NOUN
          VOC:	Eayb
        GLOSS:	shame/fault/faults/weaknesses

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P74W2
      OFFSETS:	3-4
       TOKENS:	P74W2-P74W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الأسباب
     IS_TRANS:	Al>sbAb
        INDEX:	P75W1
      OFFSETS:	0-7
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Al>asobAb)
          POS:	DET+NOUN
          VOC:	Al+>asobAb
        GLOSS:	the+reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P75W2
      OFFSETS:	8-9
       TOKENS:	P75W2-P75W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P76W1
      OFFSETS:	0-5
       TOKENS:	P76W1-P76W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	سعد
     IS_TRANS:	sEd
        INDEX:	P76W2
      OFFSETS:	6-9
       TOKENS:	P76W2-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEod_1]
   UNSPLITVOC:	(saEod)
          POS:	NOUN_PROP
          VOC:	saEod
        GLOSS:	Saad

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P76W3
      OFFSETS:	10-11
       TOKENS:	P76W3-P76W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P76W4
      OFFSETS:	11-14
       TOKENS:	P76W4-P76W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأحبك
     IS_TRANS:	b>Hbk
        INDEX:	P76W5
      OFFSETS:	15-20
       TOKENS:	P76W5-P76W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~ik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+Hib~+ik
        GLOSS:	[present-tense]+I+love/like/want+you

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P76W6
      OFFSETS:	21-24
       TOKENS:	P76W8-P76W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P76W7
      OFFSETS:	25-27
       TOKENS:	P76W9-P76W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P76W8
      OFFSETS:	28-30
       TOKENS:	P76W10-P76W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	تكوني
     IS_TRANS:	tkwny
        INDEX:	P76W9
      OFFSETS:	31-36
       TOKENS:	P76W11-P76W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwniy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+kuwn+iy
        GLOSS:	you+be/was/were+you

 INPUT STRING:	آخرة
     IS_TRANS:	|xrp
        INDEX:	P76W10
      OFFSETS:	37-41
       TOKENS:	P76W12-P76W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|axrap_1]
   UNSPLITVOC:	(|axrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	|axr+ap
        GLOSS:	end+[fem.sg.]

 INPUT STRING:	تعبي
     IS_TRANS:	tEby
        INDEX:	P76W11
      OFFSETS:	42-46
       TOKENS:	P76W13-P76W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEab_1]
   UNSPLITVOC:	(taEabiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	taEab+iy
        GLOSS:	tiredness/fatigue+my

 INPUT STRING:	السنين
     IS_TRANS:	Alsnyn
        INDEX:	P76W12
      OFFSETS:	47-53
       TOKENS:	P76W15-P76W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Alsiniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+sin+iyn
        GLOSS:	the+year/years+[pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P76W13
      OFFSETS:	54-56
       TOKENS:	P76W16-P76W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P76W14
      OFFSETS:	57-59
       TOKENS:	P76W17-P76W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تبعديش
     IS_TRANS:	tbEdy$
        INDEX:	P76W15
      OFFSETS:	60-66
       TOKENS:	P76W18-P76W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEid_1]
   UNSPLITVOC:	(tiboEidiy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+boEid+iy+$
        GLOSS:	you+be distant/stay away/remove oneself/go far away+you+not

 INPUT STRING:	عني
     IS_TRANS:	Eny
        INDEX:	P76W16
      OFFSETS:	67-70
       TOKENS:	P76W20-P76W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~iy)
          POS:	PREP+PRON_1S
          VOC:	Ean~+iy
        GLOSS:	(away) from/off/about/on/over+me

 INPUT STRING:	واعرفي
     IS_TRANS:	wAErfy
        INDEX:	P76W17
      OFFSETS:	71-77
       TOKENS:	P76W22-P76W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(wiAiEorafiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+AiEoraf+iy
        GLOSS:	and+know+you

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P76W18
      OFFSETS:	78-80
       TOKENS:	P76W24-P76W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P76W19
      OFFSETS:	81-85
       TOKENS:	P76W25-P76W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	غيرتي
     IS_TRANS:	gyrty
        INDEX:	P76W20
      OFFSETS:	86-91
       TOKENS:	P76W26-P76W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(gay~artiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	gay~ar+tiy
        GLOSS:	change/modify+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P76W21
      OFFSETS:	92-94
       TOKENS:	P76W27-P76W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حياتي
     IS_TRANS:	HyAty
        INDEX:	P76W22
      OFFSETS:	95-100
       TOKENS:	P76W28-P76W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(HayAtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	HayA+ap+iy
        GLOSS:	life/lives+[fem.sg.]+my

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P76W23
      OFFSETS:	101-106
       TOKENS:	P76W30-P76W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P76W24
      OFFSETS:	107-111
       TOKENS:	P76W31-P76W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~hA)
          POS:	PREP+PRON_3FS
          VOC:	min~+hA
        GLOSS:	from+she/it

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P76W25
      OFFSETS:	112-114
       TOKENS:	P76W33-P76W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P76W26
      OFFSETS:	115-118
       TOKENS:	P76W34-P76W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P76W27
      OFFSETS:	119-121
       TOKENS:	P76W35-P76W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liiy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	سند
     IS_TRANS:	snd
        INDEX:	P76W28
      OFFSETS:	122-125
       TOKENS:	P76W37-P76W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sanad_1]
   UNSPLITVOC:	(sanad)
          POS:	NOUN
          VOC:	sanad
        GLOSS:	support

 INPUT STRING:	وحضن
     IS_TRANS:	wHDn
        INDEX:	P76W29
      OFFSETS:	126-130
       TOKENS:	P76W38-P76W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuDon_1]
   UNSPLITVOC:	(wiHuDon)
          POS:	CONJ+NOUN
          VOC:	wi+HuDon
        GLOSS:	and+hugs

 INPUT STRING:	أجري
     IS_TRANS:	>jry
        INDEX:	P76W30
      OFFSETS:	131-135
       TOKENS:	P76W40-P76W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiriy_1]
   UNSPLITVOC:	(Aajoriy)
          POS:	IV1S+IV
          VOC:	Aa+joriy
        GLOSS:	I+run/flow

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P76W31
      OFFSETS:	136-138
       TOKENS:	P76W41-P76W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liuh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him

 INPUT STRING:	وأقول
     IS_TRANS:	w>qwl
        INDEX:	P76W32
      OFFSETS:	139-144
       TOKENS:	P76W43-P76W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiAaquwl)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+quwl
        GLOSS:	and+I+said/say/be said/(for example)

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P76W33
      OFFSETS:	145-147
       TOKENS:	P76W45-P76W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liuh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P76W34
      OFFSETS:	148-151
       TOKENS:	P76W47-P76W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P76W35
      OFFSETS:	152-154
       TOKENS:	P76W48-P76W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P77W1
      OFFSETS:	0-4
       TOKENS:	P77W1-P77W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P77W2
      OFFSETS:	4-5
       TOKENS:	P77W2-P77W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W3
      OFFSETS:	5-6
       TOKENS:	P77W3-P77W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W4
      OFFSETS:	6-7
       TOKENS:	P77W4-P77W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W5
      OFFSETS:	7-8
       TOKENS:	P77W5-P77W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W6
      OFFSETS:	8-9
       TOKENS:	P77W6-P77W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P77W7
      OFFSETS:	9-12
       TOKENS:	P77W7-P77W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P77W8
      OFFSETS:	13-15
       TOKENS:	P77W8-P77W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P77W9
      OFFSETS:	16-21
       TOKENS:	P77W9-P77W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	أبعد
     IS_TRANS:	>bEd
        INDEX:	P77W10
      OFFSETS:	22-26
       TOKENS:	P77W10-P77W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEid_1]
   UNSPLITVOC:	(AaboEid)
          POS:	IV1S+IV
          VOC:	Aa+boEid
        GLOSS:	I+be distant/stay away/remove oneself/go far away

 INPUT STRING:	عنك
     IS_TRANS:	Enk
        INDEX:	P77W11
      OFFSETS:	27-30
       TOKENS:	P77W11-P77W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~ak)
          POS:	PREP+PRON_2MS
          VOC:	Ean~+ak
        GLOSS:	(away) from/off/about/on/over+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W12
      OFFSETS:	31-32
       TOKENS:	P77W13-P77W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W13
      OFFSETS:	32-33
       TOKENS:	P77W14-P77W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P77W14
      OFFSETS:	33-37
       TOKENS:	P77W15-P77W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+still

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P77W15
      OFFSETS:	38-43
       TOKENS:	P77W17-P77W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	أكون
     IS_TRANS:	>kwn
        INDEX:	P77W16
      OFFSETS:	44-48
       TOKENS:	P77W18-P77W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Aakuwn)
          POS:	IV1S+IV
          VOC:	Aa+kuwn
        GLOSS:	I+be/was/were

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P77W17
      OFFSETS:	49-51
       TOKENS:	P77W19-P77W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P77W18
      OFFSETS:	52-54
       TOKENS:	P77W20-P77W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وأكثر
     IS_TRANS:	w>kvr
        INDEX:	P77W19
      OFFSETS:	55-60
       TOKENS:	P77W21-P77W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(wa>akovar)
          POS:	CONJ+ADJ_COMP
          VOC:	wa+>akovar
        GLOSS:	and+more, most, majority

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W20
      OFFSETS:	60-61
       TOKENS:	P77W23-P77W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P77W21
      OFFSETS:	61-62
       TOKENS:	P77W24-P77W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
