 INPUT STRING:	شفتي
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P26W4
      OFFSETS:	12-14
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P26W5
      OFFSETS:	15-18
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P26W6
      OFFSETS:	19-23
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	حأعمله
     IS_TRANS:	H>Emlh
        INDEX:	P26W7
      OFFSETS:	24-30
       TOKENS:	P26W7-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HaAaEomiluh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+Eomil+uh
        GLOSS:	will+I+function/make/act/do+it/him

 INPUT STRING:	حاكل
     IS_TRANS:	HAkl
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akal_1]
   UNSPLITVOC:	(HaAakul)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+kul
        GLOSS:	will+I+eat/consume/be eaten/be consumed

 INPUT STRING:	bsrEp
     IS_TRANS:	bsrEp
        INDEX:	P27W2
      OFFSETS:	5-10
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	واكلمهم
     IS_TRANS:	wAklmhm
        INDEX:	P27W3
      OFFSETS:	11-18
       TOKENS:	P27W5-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(wiAakal~imhum)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:3P
          VOC:	wi+Aa+kal~im+hum
        GLOSS:	and+I+talk/speak/talk to+them

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P28W1
      OFFSETS:	0-2
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P28W2
      OFFSETS:	3-5
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تقلقيش
     IS_TRANS:	tqlqy$
        INDEX:	P28W3
      OFFSETS:	6-12
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiliq_1]
   UNSPLITVOC:	(tiqolaqiy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+qolaq+iy+$
        GLOSS:	you+worry+you+not

 INPUT STRING:	حيستوي
     IS_TRANS:	Hystwy
        INDEX:	P28W4
      OFFSETS:	13-19
       TOKENS:	P28W5-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistawaY_1]
   UNSPLITVOC:	(Hayistwiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+stwiy
        GLOSS:	will+he/it+be ripe/mature/be well cooked

 INPUT STRING:	bsrEp
     IS_TRANS:	bsrEp
        INDEX:	P28W5
      OFFSETS:	20-25
       TOKENS:	P28W7-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P29W2
      OFFSETS:	3-5
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بسرعة
     IS_TRANS:	bsrEp
        INDEX:	P29W3
      OFFSETS:	6-11
       TOKENS:	P29W3-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مهلك
     IS_TRANS:	mhlk
        INDEX:	P30W2
      OFFSETS:	4-8
       TOKENS:	P30W2-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahol_1]
   UNSPLITVOC:	(maholik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mahol+ik
        GLOSS:	slowness/slow down!/slowly/leisurely+your

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P30W3
      OFFSETS:	9-13
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تنسيش
     IS_TRANS:	tnsy$
        INDEX:	P31W2
      OFFSETS:	3-8
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(tinosiy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+nos+iy+$
        GLOSS:	you+forget/forgot+you+not

 INPUT STRING:	HADr
     IS_TRANS:	HADr
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

 INPUT STRING:	60
     IS_TRANS:	60
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(60)
          POS:	NOUN_NUM
          VOC:	60
        GLOSS:	60

 INPUT STRING:	برشامة
     IS_TRANS:	br$Amp
        INDEX:	P33W2
      OFFSETS:	3-9
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biro$Amap_1]
   UNSPLITVOC:	(biro$Amap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	biro$Am+ap
        GLOSS:	a pill+[fem.sg.]

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P33W3
      OFFSETS:	10-11
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(b)
          POS:	NO_FUNC
          VOC:	b
        GLOSS:	nogloss

 INPUT STRING:	180
     IS_TRANS:	180
        INDEX:	P33W4
      OFFSETS:	11-14
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(180)
          POS:	NOUN_NUM
          VOC:	180
        GLOSS:	180

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P33W5
      OFFSETS:	15-19
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)/pounds (currency)/pound/one pound/golden pound/a pound/touched in the head/stolen

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P33W6
      OFFSETS:	19-20
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	امريكان
     IS_TRANS:	AmrykAn
        INDEX:	P33W7
      OFFSETS:	21-28
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AmrykAn)
          POS:	FOREIGN
          VOC:	AmrykAn
        GLOSS:	nogloss

 INPUT STRING:	بروداكت
     IS_TRANS:	brwdAkt
        INDEX:	P33W8
      OFFSETS:	29-36
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brwdAkt)
          POS:	FOREIGN
          VOC:	brwdAkt
        GLOSS:	nogloss

