 INPUT STRING:	بليزر
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P84W2
      OFFSETS:	6-9
       TOKENS:	P84W2-P84W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	فاضل
     IS_TRANS:	fADl
        INDEX:	P85W1
      OFFSETS:	0-4
       TOKENS:	P85W1-P85W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(fADil)
          POS:	ADJ
          VOC:	fADil
        GLOSS:	honorable/eminent/remaining

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P85W2
      OFFSETS:	5-7
       TOKENS:	P85W2-P85W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P85W3
      OFFSETS:	8-11
       TOKENS:	P85W4-P85W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P85W4
      OFFSETS:	12-14
       TOKENS:	P85W5-P85W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P86W1
      OFFSETS:	0-3
       TOKENS:	P86W1-P86W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P86W2
      OFFSETS:	4-6
       TOKENS:	P86W2-P86W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأرسم
     IS_TRANS:	b>rsm
        INDEX:	P86W3
      OFFSETS:	7-12
       TOKENS:	P86W3-P86W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasam_1]
   UNSPLITVOC:	(bAarosim)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+rosim
        GLOSS:	[present-tense]+I+trace/sketch/prescribe/be traced/be sketched/be prescribed

 INPUT STRING:	رسومات
     IS_TRANS:	rswmAt
        INDEX:	P86W4
      OFFSETS:	13-19
       TOKENS:	P86W5-P86W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasom_1]
   UNSPLITVOC:	(rusuwmAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	rusuwm+At
        GLOSS:	drawing/sketch/illustration/drawings/sketches/illustrations/sketching/illustrating+[fem.pl.]

 INPUT STRING:	جاهزة
     IS_TRANS:	jAhzp
        INDEX:	P86W5
      OFFSETS:	20-25
       TOKENS:	P86W6-P86W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAhiz_1]
   UNSPLITVOC:	(jAhozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAhoz+ap
        GLOSS:	prepared/ready/equipped+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P86W6
      OFFSETS:	26-29
       TOKENS:	P86W7-P86W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P86W7
      OFFSETS:	30-32
       TOKENS:	P86W8-P86W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأعملها
     IS_TRANS:	b>EmlhA
        INDEX:	P86W8
      OFFSETS:	33-40
       TOKENS:	P86W9-P86W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bAaEomilhA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+Eomil+hA
        GLOSS:	[present-tense]+I+function/make/act/do+it/them/her

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P86W9
      OFFSETS:	41-44
       TOKENS:	P86W12-P86W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P87W1
      OFFSETS:	0-3
       TOKENS:	P87W1-P87W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأعملها
     IS_TRANS:	b>EmlhA
        INDEX:	P87W2
      OFFSETS:	4-11
       TOKENS:	P87W2-P87W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bAaEomilhA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+Eomil+hA
        GLOSS:	[present-tense]+I+function/make/act/do+it/them/her

 INPUT STRING:	كن
     IS_TRANS:	kn
        INDEX:	P87W3
      OFFSETS:	12-14
       TOKENS:	P87W5-P87W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kn)
          POS:	TYPO
          VOC:	kn
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P87W4
      OFFSETS:	15-17
       TOKENS:	P87W6-P87W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	سبت
     IS_TRANS:	sbt
        INDEX:	P87W5
      OFFSETS:	18-21
       TOKENS:	P87W7-P87W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sbt)
          POS:	FOREIGN
          VOC:	sbt
        GLOSS:	nogloss

 INPUT STRING:	أمال
     IS_TRANS:	>mAl
        INDEX:	P88W1
      OFFSETS:	0-4
       TOKENS:	P88W1-P88W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/then

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P88W2
      OFFSETS:	5-8
       TOKENS:	P88W2-P88W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P88W3
      OFFSETS:	9-13
       TOKENS:	P88W3-P88W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P88W4
      OFFSETS:	14-19
       TOKENS:	P88W4-P88W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	توم
     IS_TRANS:	twm
        INDEX:	P89W1
      OFFSETS:	0-3
       TOKENS:	P89W1-P89W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twm)
          POS:	FOREIGN
          VOC:	twm
        GLOSS:	nogloss

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P89W2
      OFFSETS:	4-7
       TOKENS:	P89W2-P89W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	حيخلص
     IS_TRANS:	HyxlS
        INDEX:	P89W3
      OFFSETS:	8-13
       TOKENS:	P89W4-P89W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(HayixolaS)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+xolaS
        GLOSS:	will+he/it+be depleted/dwindle/sell out/purify/refine/clarify/become passable/consume utterly

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P90W1
      OFFSETS:	0-5
       TOKENS:	P90W1-P90W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	جبتي
     IS_TRANS:	jbty
        INDEX:	P91W1
      OFFSETS:	0-4
       TOKENS:	P91W1-P91W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	jib+tiy
        GLOSS:	explore/traverse/bring+you

 INPUT STRING:	الكاميرا
     IS_TRANS:	AlkAmyrA
        INDEX:	P91W2
      OFFSETS:	5-13
       TOKENS:	P91W2-P91W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmiyrA_1]
   UNSPLITVOC:	(AlkAmiyrA)
          POS:	DET+NOUN
          VOC:	Al+kAmiyrA
        GLOSS:	the+camera

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P91W3
      OFFSETS:	14-16
       TOKENS:	P91W3-P91W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ولية
     IS_TRANS:	wlyp
        INDEX:	P91W4
      OFFSETS:	17-21
       TOKENS:	P91W4-P91W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiliy~ap_1]
   UNSPLITVOC:	(wiliy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wiliy~+ap
        GLOSS:	wife/taboo/prohibition/taboos/prohibitions/woman/tabo/tabos+[fem.sg.]

 INPUT STRING:	ميناس
     IS_TRANS:	mynAs
        INDEX:	P92W1
      OFFSETS:	0-5
       TOKENS:	P92W1-P92W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miynAs_1]
   UNSPLITVOC:	(miynAs)
          POS:	NOUN_PROP
          VOC:	miynAs
        GLOSS:	Minas

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P93W1
      OFFSETS:	0-4
       TOKENS:	P93W1-P93W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	صبح
     IS_TRANS:	SbH
        INDEX:	P93W2
      OFFSETS:	5-8
       TOKENS:	P93W2-P93W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(SuboH)
          POS:	NOUN
          VOC:	SuboH
        GLOSS:	morning/daybreak/mornings

 INPUT STRING:	جيف
     IS_TRANS:	jyf
        INDEX:	P93W3
      OFFSETS:	9-12
       TOKENS:	P93W3-P93W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jyf)
          POS:	FOREIGN
          VOC:	jyf
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P93W4
      OFFSETS:	13-15
       TOKENS:	P93W4-P93W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mn)
          POS:	FOREIGN
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	حرس
     IS_TRANS:	Hrs
        INDEX:	P93W5
      OFFSETS:	16-19
       TOKENS:	P93W5-P93W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hrs)
          POS:	FOREIGN
          VOC:	Hrs
        GLOSS:	nogloss

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P94W1
      OFFSETS:	0-2
       TOKENS:	P94W1-P94W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P94W2
      OFFSETS:	3-6
       TOKENS:	P94W2-P94W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P94W3
      OFFSETS:	7-11
       TOKENS:	P94W3-P94W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	سوسو
     IS_TRANS:	swsw
        INDEX:	P95W1
      OFFSETS:	0-4
       TOKENS:	P95W1-P95W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwsuw_1]
   UNSPLITVOC:	(suwsuw)
          POS:	NOUN_PROP
          VOC:	suwsuw
        GLOSS:	Soso

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P96W1
      OFFSETS:	0-2
       TOKENS:	P96W1-P96W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P96W2
      OFFSETS:	3-6
       TOKENS:	P96W2-P96W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainoti)
          POS:	PRON_2FS
          VOC:	Ainoti
        GLOSS:	you

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P96W3
      OFFSETS:	7-9
       TOKENS:	P96W3-P96W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	رغدة
     IS_TRANS:	rgdp
        INDEX:	P96W4
      OFFSETS:	10-14
       TOKENS:	P96W4-P96W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragdap_1]
   UNSPLITVOC:	(ragdap)
          POS:	NOUN_PROP
          VOC:	ragdap
        GLOSS:	raghda

 INPUT STRING:	تود
     IS_TRANS:	twd
        INDEX:	P96W5
      OFFSETS:	15-18
       TOKENS:	P96W5-P96W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twd)
          POS:	FOREIGN
          VOC:	twd
        GLOSS:	nogloss

 INPUT STRING:	وبكرة
     IS_TRANS:	wbkrp
        INDEX:	P97W1
      OFFSETS:	0-5
       TOKENS:	P97W1-P97W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(wibukorap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+bukor+ap
        GLOSS:	and+tomorrow+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P97W2
      OFFSETS:	6-8
       TOKENS:	P97W3-P97W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	مامتها
     IS_TRANS:	mAmthA
        INDEX:	P97W3
      OFFSETS:	9-15
       TOKENS:	P97W4-P97W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	mAm+ap+hA
        GLOSS:	mama+[fem.sg.]+its/their/her

 INPUT STRING:	أوكيه
     IS_TRANS:	>wkyh
        INDEX:	P98W1
      OFFSETS:	0-5
       TOKENS:	P98W1-P98W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwk~iyh_1]
   UNSPLITVOC:	(>uwk~iyh)
          POS:	INTERJ
          VOC:	>uwk~iyh
        GLOSS:	ok

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P98W2
      OFFSETS:	6-8
       TOKENS:	P98W2-P98W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mn)
          POS:	FOREIGN
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P99W1
      OFFSETS:	0-2
       TOKENS:	P99W1-P99W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dh)
          POS:	FOREIGN
          VOC:	dh
        GLOSS:	nogloss

 INPUT STRING:	ش
     IS_TRANS:	$
        INDEX:	P99W2
      OFFSETS:	3-4
       TOKENS:	P99W2-P99W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	($)
          POS:	FOREIGN
          VOC:	$
        GLOSS:	nogloss

 INPUT STRING:	ورت
     IS_TRANS:	wrt
        INDEX:	P99W3
      OFFSETS:	5-8
       TOKENS:	P99W3-P99W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wrt)
          POS:	FOREIGN
          VOC:	wrt
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P99W4
      OFFSETS:	9-14
       TOKENS:	P99W4-P99W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P100W1
      OFFSETS:	0-5
       TOKENS:	P100W1-P100W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	أعمل
     IS_TRANS:	>Eml
        INDEX:	P100W2
      OFFSETS:	6-10
       TOKENS:	P100W2-P100W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	العفأن
     IS_TRANS:	AlEf>n
        INDEX:	P100W3
      OFFSETS:	11-17
       TOKENS:	P100W3-P100W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlEf>n)
          POS:	FOREIGN
          VOC:	AlEf>n
        GLOSS:	nogloss

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P101W1
      OFFSETS:	0-5
       TOKENS:	P101W1-P101W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P101W2
      OFFSETS:	6-11
       TOKENS:	P101W2-P101W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P102W1
      OFFSETS:	0-3
       TOKENS:	P102W1-P102W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P102W2
      OFFSETS:	4-10
       TOKENS:	P102W2-P102W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P103W1
      OFFSETS:	0-3
       TOKENS:	P103W1-P103W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	أخذتي
     IS_TRANS:	>x*ty
        INDEX:	P104W1
      OFFSETS:	0-5
       TOKENS:	P104W1-P104W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(>axa*tiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	>axa*+tiy
        GLOSS:	take/begin/be taken+you

 INPUT STRING:	كاميرا
     IS_TRANS:	kAmyrA
        INDEX:	P104W2
      OFFSETS:	6-12
       TOKENS:	P104W2-P104W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmiyrA_1]
   UNSPLITVOC:	(kAmiyrA)
          POS:	NOUN
          VOC:	kAmiyrA
