 INPUT STRING:	اميرة
        INDEX:	P463W4
      OFFSETS:	15-21
       TOKENS:	P463W7-P463W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoZalam_1]
   UNSPLITVOC:	(AitoZalamt)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	AitoZalam+t
        GLOSS:	be wroged/be oppressed/be judged unfairly+I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P464W1
      OFFSETS:	0-2
       TOKENS:	P464W1-P464W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P464W2
      OFFSETS:	3-8
       TOKENS:	P464W2-P464W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P465W1
      OFFSETS:	0-2
       TOKENS:	P465W1-P465W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P465W2
      OFFSETS:	3-6
       TOKENS:	P465W2-P465W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P465W3
      OFFSETS:	7-10
       TOKENS:	P465W3-P465W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+(null)
        GLOSS:	function/make/act/do+he/it

 INPUT STRING:	كحخا
     IS_TRANS:	kHxA
        INDEX:	P465W4
      OFFSETS:	11-15
       TOKENS:	P465W4-P465W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kHxA)
          POS:	TYPO
          VOC:	kHxA
        GLOSS:	nogloss

 INPUT STRING:	وسنين
     IS_TRANS:	wsnyn
        INDEX:	P466W1
      OFFSETS:	0-5
       TOKENS:	P466W1-P466W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(wisiniyn)
          POS:	CONJ+NOUN+NSUFF_MASC_PL
          VOC:	wi+sin+iyn
        GLOSS:	and+year/years+plural

 INPUT STRING:	عمري
     IS_TRANS:	Emry
        INDEX:	P466W2
      OFFSETS:	6-10
       TOKENS:	P466W3-P466W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life/ages/age groups+my

 INPUT STRING:	راحت
     IS_TRANS:	rAHt
        INDEX:	P466W3
      OFFSETS:	11-15
       TOKENS:	P466W5-P466W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rAH+it
        GLOSS:	begin/go+it/they/she

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P467W1
      OFFSETS:	0-4
       TOKENS:	P467W1-P467W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	انتهي
     IS_TRANS:	Anthy
        INDEX:	P467W2
      OFFSETS:	5-10
       TOKENS:	P467W2-P467W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(AinotahaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AinotahaY+(null)
        GLOSS:	be ended+he/it

 INPUT STRING:	اسمعي
     IS_TRANS:	AsmEy
        INDEX:	P468W1
      OFFSETS:	0-5
       TOKENS:	P468W1-P468W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(AisomaEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AisomaE+iy
        GLOSS:	listen/hear+you

 INPUT STRING:	كلامي
     IS_TRANS:	klAmy
        INDEX:	P468W2
      OFFSETS:	6-11
       TOKENS:	P468W2-P468W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	kalAm+iy
        GLOSS:	speech/statement/remark/talk/saying+my

 INPUT STRING:	اتمني
     IS_TRANS:	Atmny
        INDEX:	P468W3
      OFFSETS:	12-17
       TOKENS:	P468W4-P468W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~amn~aY_1]
   UNSPLITVOC:	(Ait~amn~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Ait~amn~+iy
        GLOSS:	wish `+you

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P468W4
      OFFSETS:	18-21
       TOKENS:	P468W5-P468W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+he/it

 INPUT STRING:	الخير
     IS_TRANS:	Alxyr
        INDEX:	P468W5
      OFFSETS:	22-27
       TOKENS:	P468W7-P468W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(Alxayr)
          POS:	DET+NOUN
          VOC:	Al+xayr
        GLOSS:	the+good

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P469W1
      OFFSETS:	0-3
       TOKENS:	P469W1-P469W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P469W2
      OFFSETS:	4-8
       TOKENS:	P469W2-P469W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	ابه
     IS_TRANS:	Abh
        INDEX:	P469W3
      OFFSETS:	9-12
       TOKENS:	P469W3-P469W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Abh)
          POS:	TYPO
          VOC:	Abh
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P470W1
      OFFSETS:	0-2
       TOKENS:	P470W1-P470W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	برود
     IS_TRANS:	brwd
        INDEX:	P470W2
      OFFSETS:	3-7
       TOKENS:	P470W2-P470W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buruwd_1]
   UNSPLITVOC:	(buruwd)
          POS:	NOUN
          VOC:	buruwd
        GLOSS:	coldness

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P471W1
      OFFSETS:	0-4
       TOKENS:	P471W1-P471W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how/what degree

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P472W1
      OFFSETS:	0-2
       TOKENS:	P472W1-P472W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	رحمة
     IS_TRANS:	rHmp
        INDEX:	P472W2
      OFFSETS:	3-7
       TOKENS:	P472W2-P472W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(raHomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	raHom+ap
        GLOSS:	compassion/mercy+[fem.sg.]

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P472W3
      OFFSETS:	8-11
       TOKENS:	P472W3-P472W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by/him/them/her+/him/it

 INPUT STRING:	طالما
     IS_TRANS:	TAlmA
        INDEX:	P473W1
      OFFSETS:	0-5
       TOKENS:	P473W1-P473W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlamA_1]
   UNSPLITVOC:	(TAlamA)
          POS:	SUB_CONJ
          VOC:	TAlamA
        GLOSS:	as long as

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P473W2
      OFFSETS:	6-10
       TOKENS:	P473W2-P473W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P473W3
      OFFSETS:	11-16
       TOKENS:	P473W3-P473W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P473W4
      OFFSETS:	17-20
       TOKENS:	P473W4-P473W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	اتظلم
     IS_TRANS:	AtZlm
        INDEX:	P473W5
      OFFSETS:	21-26
       TOKENS:	P473W6-P473W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoZalam_1]
   UNSPLITVOC:	(<itoZalam)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	<itoZalam+(null)
        GLOSS:	live injustice/be opressed+he/it

 INPUT STRING:	الو
     IS_TRANS:	Alw
        INDEX:	P474W1
      OFFSETS:	0-3
       TOKENS:	P474W1-P474W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aluw_1]
   UNSPLITVOC:	(>aluw)
          POS:	INTERJ
          VOC:	>aluw
        GLOSS:	hello

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P475W1
      OFFSETS:	0-4
       TOKENS:	P475W1-P475W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يتقبل
     IS_TRANS:	ytqbl
        INDEX:	P475W2
      OFFSETS:	5-10
       TOKENS:	P475W3-P475W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqab~il_1]
   UNSPLITVOC:	(yitoqab~il)
          POS:	IV3MS+IV
          VOC:	ya+toqab~il
        GLOSS:	he/it+accept/receive

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P475W3
      OFFSETS:	11-14
       TOKENS:	P475W4-P475W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ak)
          POS:	PREP+PRON_2MS
          VOC:	min~+ak
        GLOSS:	from+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P475W4
      OFFSETS:	14-15
       TOKENS:	P475W6-P475W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P475W5
      OFFSETS:	15-16
       TOKENS:	P475W7-P475W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	متشكرا
     IS_TRANS:	mt$krA
        INDEX:	P475W6
      OFFSETS:	16-22
       TOKENS:	P475W8-P475W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muta$ak~ir_1]
   UNSPLITVOC:	(mito$ak~iraA)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mito$ak~ir+ap
        GLOSS:	thankful/thanking+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P475W7
      OFFSETS:	23-26
       TOKENS:	P475W9-P475W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P475W8
      OFFSETS:	26-27
       TOKENS:	P475W10-P475W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P475W9
      OFFSETS:	27-28
       TOKENS:	P475W11-P475W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P475W10
      OFFSETS:	28-32
       TOKENS:	P475W12-P475W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يحفظك
     IS_TRANS:	yHfZk
        INDEX:	P475W11
      OFFSETS:	33-38
       TOKENS:	P475W14-P475W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(yiHofaZak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+HofaZ+ak
        GLOSS:	he/it+keep/preserve/protect/memorize+you

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P475W12
      OFFSETS:	39-40
       TOKENS:	P475W16-P475W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	يوفقك
     IS_TRANS:	ywfqk
        INDEX:	P475W13
      OFFSETS:	41-46
       TOKENS:	P475W17-P475W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~aq_1]
   UNSPLITVOC:	(yiwaf~aqak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+waf~aq+ak
        GLOSS:	he/it+grant success/be granted success/be successful+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P475W14
      OFFSETS:	46-47
       TOKENS:	P475W19-P475W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P475W15
      OFFSETS:	47-48
       TOKENS:	P475W20-P475W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P476W1
      OFFSETS:	0-3
       TOKENS:	P476W1-P476W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P476W2
      OFFSETS:	4-8
       TOKENS:	P476W2-P476W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P477W1
      OFFSETS:	0-3
       TOKENS:	P477W1-P477W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wal~A_]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P477W2
      OFFSETS:	4-8
       TOKENS:	P477W2-P477W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	NEG_PART
          VOC:	balA$
        GLOSS:	no/not/non-/except for/except/rhetorical question/do not/is

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P477W3
      OFFSETS:	9-13
       TOKENS:	P477W3-P477W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يتقبل
     IS_TRANS:	ytqbl
        INDEX:	P477W4
      OFFSETS:	14-19
       TOKENS:	P477W5-P477W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqab~il_1]
   UNSPLITVOC:	(yitoqab~il)
          POS:	IV3MS+IV
          VOC:	ya+toqab~il
        GLOSS:	he/it+accept/receive

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P478W1
      OFFSETS:	0-4
       TOKENS:	P478W1-P478W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	اشيل
     IS_TRANS:	A$yl
        INDEX:	P479W1
      OFFSETS:	0-4
       TOKENS:	P479W1-P479W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(Aa$iyl)
          POS:	IV1S+IV
          VOC:	Aa+$iyl
        GLOSS:	I+carry/lift

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P479W2
      OFFSETS:	5-9
       TOKENS:	P479W2-P479W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يتقبل
     IS_TRANS:	ytqbl
        INDEX:	P479W3
      OFFSETS:	10-15
       TOKENS:	P479W4-P479W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqab~il_1]
   UNSPLITVOC:	(yitoqab~il)
          POS:	IV3MS+IV
          VOC:	ya+toqab~il
        GLOSS:	he/it+accept/receive

 INPUT STRING:	متشكره
     IS_TRANS:	mt$krh
        INDEX:	P480W1
      OFFSETS:	0-6
       TOKENS:	P480W1-P480W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muta$ak~ir_1]
   UNSPLITVOC:	(muta$ak~irap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mito$ak~ir+ap
        GLOSS:	thankful/thanking+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P480W2
      OFFSETS:	7-9
       TOKENS:	P480W2-P480W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	متشكرا
     IS_TRANS:	mt$krA
        INDEX:	P480W3
      OFFSETS:	10-16
       TOKENS:	P480W3-P480W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muta$ak~ir_1]
   UNSPLITVOC:	(mito$ak~iraA)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mito$ak~ir+ap
        GLOSS:	thankful/thanking+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P481W1
      OFFSETS:	0-5
       TOKENS:	P481W1-P481W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	ميبقاش
     IS_TRANS:	mybqA$
        INDEX:	P481W2
      OFFSETS:	6-12
       TOKENS:	P481W3-P481W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(mA_yiboqA$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+boqA+$
        GLOSS:	not+he/it+become/begin/start/be/begin a new day+not

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P481W3
      OFFSETS:	13-17
       TOKENS:	P481W6-P481W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P482W1
      OFFSETS:	0-6
       TOKENS:	P482W1-P482W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P483W1
      OFFSETS:	0-4
       TOKENS:	P483W1-P483W1
