 INPUT STRING:	نقول
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	ah

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P690W3
      OFFSETS:	5-10
       TOKENS:	P690W3-P690W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(waAll~`h)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~`h
        GLOSS:	by+Allah/God

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P691W1
      OFFSETS:	0-2
       TOKENS:	P691W1-P691W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P691W2
      OFFSETS:	3-6
       TOKENS:	P691W2-P691W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P691W3
      OFFSETS:	7-8
       TOKENS:	P691W3-P691W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	أحلاهم
     IS_TRANS:	>HlAhm
        INDEX:	P691W4
      OFFSETS:	9-15
       TOKENS:	P691W4-P691W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHolaY_1]
   UNSPLITVOC:	(>aHolAhum)
          POS:	NOUN+POSS_PRON_3MP
          VOC:	>aHolA+hum
        GLOSS:	sweeter/sweetest+their

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P691W5
      OFFSETS:	16-17
       TOKENS:	P691W6-P691W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	غرور
     IS_TRANS:	grwr
        INDEX:	P692W1
      OFFSETS:	0-4
       TOKENS:	P692W1-P692W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[guruwr_1]
   UNSPLITVOC:	(guruwr)
          POS:	NOUN
          VOC:	guruwr
        GLOSS:	deception/delusion

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P692W2
      OFFSETS:	5-7
       TOKENS:	P692W2-P692W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P692W3
      OFFSETS:	8-12
       TOKENS:	P692W3-P692W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	SUB_CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ثقة
     IS_TRANS:	vqp
        INDEX:	P692W4
      OFFSETS:	13-16
       TOKENS:	P692W4-P692W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[viqap_1]
   UNSPLITVOC:	(viqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	viq+ap
        GLOSS:	trust/confidence/authorities/trustworthy sources+[fem.sg.]

 INPUT STRING:	بالنفس
     IS_TRANS:	bAlnfs
        INDEX:	P692W5
      OFFSETS:	17-23
       TOKENS:	P692W5-P692W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(biAlnafos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+nafos
        GLOSS:	with/by+the+same/self/selves/soul/souls

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P692W6
      OFFSETS:	24-25
       TOKENS:	P692W7-P692W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P693W1
      OFFSETS:	0-4
       TOKENS:	P693W1-P693W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wi+lA
        GLOSS:	and+not

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P693W2
      OFFSETS:	5-7
       TOKENS:	P693W3-P693W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P693W3
      OFFSETS:	8-12
       TOKENS:	P693W4-P693W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wi+lA
        GLOSS:	and+not

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P693W4
      OFFSETS:	13-15
       TOKENS:	P693W6-P693W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P693W5
      OFFSETS:	15-16
       TOKENS:	P693W7-P693W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بأحاول
     IS_TRANS:	b>HAwl
        INDEX:	P693W6
      OFFSETS:	17-23
       TOKENS:	P693W8-P693W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(bAaHAwil)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+HAwil
        GLOSS:	[present-tense]+I+test/try/attempt/try out/test for ripeness/explore/invent/originate

 INPUT STRING:	أرفع
     IS_TRANS:	>rfE
        INDEX:	P693W7
      OFFSETS:	24-28
       TOKENS:	P693W10-P693W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(AarofaE)
          POS:	IV1S+IV
          VOC:	Aa+rofaE
        GLOSS:	I+lift/raise/increase/be lifted/be raised/be increased

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P693W8
      OFFSETS:	29-31
       TOKENS:	P693W11-P693W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	معنوياتي
     IS_TRANS:	mEnwyAty
        INDEX:	P693W9
      OFFSETS:	32-40
       TOKENS:	P693W12-P693W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEonawiy~_1]
   UNSPLITVOC:	(maEonawiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	maEonawiy~+At+iy
        GLOSS:	morale/spirits+[fem.pl.]+my

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P693W10
      OFFSETS:	41-42
       TOKENS:	P693W14-P693W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P694W1
      OFFSETS:	0-1
       TOKENS:	P694W1-P694W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P694W2
      OFFSETS:	2-4
       TOKENS:	P694W2-P694W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P694W3
      OFFSETS:	5-9
       TOKENS:	P694W3-P694W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	يالله
     IS_TRANS:	yAllh
        INDEX:	P695W1
      OFFSETS:	0-5
       TOKENS:	P695W1-P695W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yAllah)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	come on

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P695W2
      OFFSETS:	6-8
       TOKENS:	P695W2-P695W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P695W3
      OFFSETS:	9-12
       TOKENS:	P695W3-P695W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P696W1
      OFFSETS:	0-2
       TOKENS:	P696W1-P696W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حا
     IS_TRANS:	HA
        INDEX:	P696W2
      OFFSETS:	3-5
       TOKENS:	P696W2-P696W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HA)
          POS:	TYPO
          VOC:	HA
        GLOSS:	nogloss

 INPUT STRING:	يالله
     IS_TRANS:	yAllh
        INDEX:	P696W3
      OFFSETS:	6-11
       TOKENS:	P696W3-P696W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yAllah)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	come on

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P696W4
      OFFSETS:	12-13
       TOKENS:	P696W4-P696W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	حأزعلك
     IS_TRANS:	H>zElk
        INDEX:	P697W1
      OFFSETS:	0-6
       TOKENS:	P697W1-P697W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(HaAazoEalik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+zoEal+ik
        GLOSS:	will+I+be angry+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P697W2
      OFFSETS:	7-8
       TOKENS:	P697W4-P697W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P698W1
      OFFSETS:	0-2
       TOKENS:	P698W1-P698W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	no

 INPUT STRING:	تقدرش
     IS_TRANS:	tqdr$
        INDEX:	P698W2
      OFFSETS:	3-8
       TOKENS:	P698W2-P698W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(tiqodar$)
          POS:	IV2MS+IV+NEG_PART
          VOC:	ti+qodar+$
        GLOSS:	you+be able/be able to/be capable of/no capacity+not

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P698W3
      OFFSETS:	9-10
       TOKENS:	P698W4-P698W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P699W1
      OFFSETS:	0-2
       TOKENS:	P699W1-P699W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	أقدر
     IS_TRANS:	>qdr
        INDEX:	P699W2
      OFFSETS:	3-7
       TOKENS:	P699W2-P699W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(Aaqodar)
          POS:	IV1S+IV
          VOC:	Aa+qodar
        GLOSS:	I+be able/be able to/be capable of/no capacity

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P700W1
      OFFSETS:	0-2
       TOKENS:	P700W1-P700W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P700W2
      OFFSETS:	3-7
       TOKENS:	P700W2-P700W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P700W3
      OFFSETS:	8-10
       TOKENS:	P700W3-P700W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P700W4
      OFFSETS:	11-15
       TOKENS:	P700W4-P700W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	بتتكلمي
     IS_TRANS:	bttklmy
        INDEX:	P700W5
      OFFSETS:	16-23
       TOKENS:	P700W5-P700W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bititokal~imiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+tokal~im+iy
        GLOSS:	[present-tense]+you+speak/talk/discuss+you

 INPUT STRING:	فرنساوي
     IS_TRANS:	frnsAwy
        INDEX:	P700W6
      OFFSETS:	24-31
       TOKENS:	P700W7-P700W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faranosAwiy_1]
   UNSPLITVOC:	(faranosAwiy)
          POS:	ADJ
          VOC:	faranosAwiy
        GLOSS:	the french language

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P700W7
      OFFSETS:	31-32
       TOKENS:	P700W8-P700W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P701W1
      OFFSETS:	0-4
       TOKENS:	P701W1-P701W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	فرنساوي
     IS_TRANS:	frnsAwy
        INDEX:	P701W2
      OFFSETS:	5-12
       TOKENS:	P701W2-P701W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faranosAwiy_1]
   UNSPLITVOC:	(faranosAwiy)
          POS:	ADJ
          VOC:	faranosAwiy
        GLOSS:	the french language

 INPUT STRING:	قفلتني
     IS_TRANS:	qfltny
        INDEX:	P701W3
      OFFSETS:	13-19
       TOKENS:	P701W3-P701W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(qafaltiniy)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:1S
          VOC:	qafal+t+niy
        GLOSS:	return/lock+you+me

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P701W4
      OFFSETS:	20-21
       TOKENS:	P701W5-P701W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P702W1
      OFFSETS:	0-4
       TOKENS:	P702W1-P702W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P702W2
      OFFSETS:	5-8
       TOKENS:	P702W2-P702W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	فتحي
     IS_TRANS:	ftHy
        INDEX:	P702W3
      OFFSETS:	9-13
       TOKENS:	P702W3-P702W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ftHy)
          POS:	NO_FUNC
          VOC:	ftHy
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P702W4
      OFFSETS:	14-16
       TOKENS:	P702W4-P702W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	وردة
     IS_TRANS:	wrdp
        INDEX:	P702W5
      OFFSETS:	17-21
       TOKENS:	P702W5-P702W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warodap_1]
   UNSPLITVOC:	(warodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	warod+ap
        GLOSS:	rose+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P702W6
      OFFSETS:	22-23
       TOKENS:	P702W6-P702W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	قفلي
     IS_TRANS:	qfly
        INDEX:	P703W1
      OFFSETS:	0-4
       TOKENS:	P703W1-P703W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaf~il_1]
   UNSPLITVOC:	(qaf~il~iy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	qaf~il+(null)+niy
        GLOSS:	return/lock/be closed up/bolt/do metalwork on/let hang/let drop/be left hanging+you+me

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P703W2
      OFFSETS:	5-7
       TOKENS:	P703W3-P703W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	وردة
     IS_TRANS:	wrdp
        INDEX:	P703W3
      OFFSETS:	8-12
       TOKENS:	P703W4-P703W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warodap_1]
   UNSPLITVOC:	(warodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	warod+ap
        GLOSS:	rose+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P703W4
      OFFSETS:	13-14
       TOKENS:	P703W5-P703W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P704W1
      OFFSETS:	0-2
       TOKENS:	P704W1-P704W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P704W2
      OFFSETS:	3-6
       TOKENS:	P704W2-P704W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P704W3
      OFFSETS:	7-11
       TOKENS:	P704W3-P704W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	تحفة
     IS_TRANS:	tHfp
        INDEX:	P704W4
      OFFSETS:	12-16
       TOKENS:	P704W4-P704W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuHofap_1]
   UNSPLITVOC:	(tuHofap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuHof+ap
        GLOSS:	gift/museum article/gifts/museum articles+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P704W5
      OFFSETS:	17-20
       TOKENS:	P704W5-P704W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P704W6
      OFFSETS:	21-25
       TOKENS:	P704W6-P704W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	SUB_CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P704W7
      OFFSETS:	26-29
       TOKENS:	P704W7-P704W7
