 INPUT STRING:	عصفورة
   UNSPLITVOC:	(nimtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	nim+tiy
        GLOSS:	sleep/lie down+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W6
      OFFSETS:	19-20
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning/in the morning

 INPUT STRING:	الخير
     IS_TRANS:	Alxyr
        INDEX:	P21W2
      OFFSETS:	5-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(Alxiyr)
          POS:	DET+NOUN
          VOC:	Al+xiyr
        GLOSS:	the+good

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P22W2
      OFFSETS:	4-7
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	صاحية
     IS_TRANS:	SAHyp
        INDEX:	P22W3
      OFFSETS:	8-13
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHiy_1]
   UNSPLITVOC:	(SAHoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SAHoy+ap
        GLOSS:	bright/serene/vigilant/wakeful+[fem.sg.]

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P23W2
      OFFSETS:	5-8
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	صاحي
     IS_TRANS:	SAHy
        INDEX:	P23W3
      OFFSETS:	9-13
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHiy_1]
   UNSPLITVOC:	(SAHiy)
          POS:	ADJ
          VOC:	SAHiy
        GLOSS:	bright/serene/vigilant/wakeful

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P23W4
      OFFSETS:	14-15
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ههه
     IS_TRANS:	hhh
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hahah)
          POS:	INTERJ
          VOC:	hahah
        GLOSS:	laughing

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P24W2
      OFFSETS:	4-5
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P25W2
      OFFSETS:	6-9
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P25W3
      OFFSETS:	9-10
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P26W2
      OFFSETS:	5-10
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P26W3
      OFFSETS:	11-14
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	اهه
     IS_TRANS:	Ahh
        INDEX:	P26W4
      OFFSETS:	15-18
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuh)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+he/it

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P27W2
      OFFSETS:	4-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P27W3
      OFFSETS:	9-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P27W4
      OFFSETS:	14-17
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P27W5
      OFFSETS:	18-19
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P28W2
      OFFSETS:	4-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	الفل
     IS_TRANS:	Alfl
        INDEX:	P28W3
      OFFSETS:	7-11
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ful~_1]
   UNSPLITVOC:	(Alful~)
          POS:	DET+NOUN
          VOC:	Al+ful~
        GLOSS:	the+jasmine

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P28W4
      OFFSETS:	12-17
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P28W5
      OFFSETS:	18-21
       TOKENS:	P28W5-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P28W6
      OFFSETS:	21-22
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P28W7
      OFFSETS:	22-23
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	إفريثينغ
     IS_TRANS:	<fryvyng
        INDEX:	P28W8
      OFFSETS:	24-32
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(<fryvyng)
          POS:	FOREIGN
          VOC:	<fryvyng
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P28W9
      OFFSETS:	33-36
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>yh)
          POS:	FOREIGN
          VOC:	>yh
        GLOSS:	nogloss

 INPUT STRING:	جريت
     IS_TRANS:	jryt
        INDEX:	P28W10
      OFFSETS:	37-41
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jryt)
          POS:	FOREIGN
          VOC:	jryt
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W11
      OFFSETS:	41-42
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P28W12
      OFFSETS:	43-46
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	أخبار
     IS_TRANS:	>xbAr
        INDEX:	P28W13
      OFFSETS:	47-52
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobAr)
          POS:	NOUN
          VOC:	>axobAr
        GLOSS:	news/report/reports

 INPUT STRING:	الجامعة
     IS_TRANS:	AljAmEp
        INDEX:	P28W14
      OFFSETS:	53-60
       TOKENS:	P28W15-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(AljAmoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jAmoE+ap
        GLOSS:	the+universities+[fem.sg.]

 INPUT STRING:	الجامعة
     IS_TRANS:	AljAmEp
        INDEX:	P29W1
      OFFSETS:	0-7
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(AljAmoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jAmoE+ap
        GLOSS:	the+universities+[fem.sg.]

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P29W2
      OFFSETS:	8-13
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P29W3
      OFFSETS:	14-15
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بنأخذ
     IS_TRANS:	bn>x*
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(bina>axu*)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+>axu*
        GLOSS:	[present-tense]+we+take/begin

 INPUT STRING:	عنتره
     IS_TRANS:	Entrh
        INDEX:	P30W2
      OFFSETS:	6-11
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Entrh)
          POS:	FOREIGN
          VOC:	Entrh
        GLOSS:	nogloss

 INPUT STRING:	تو
     IS_TRANS:	tw
        INDEX:	P30W3
      OFFSETS:	12-14
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tw)
          POS:	FOREIGN
          VOC:	tw
        GLOSS:	nogloss

 INPUT STRING:	سينما
     IS_TRANS:	synmA
        INDEX:	P30W4
      OFFSETS:	15-20
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynimA_1]
   UNSPLITVOC:	(siynimA)
          POS:	NOUN
          VOC:	siynimA
        GLOSS:	cinema

 INPUT STRING:	الكورس
     IS_TRANS:	Alkwrs
        INDEX:	P31W1
      OFFSETS:	0-6
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwrs_1]
   UNSPLITVOC:	(Alkuwrs)
          POS:	DET+NOUN
          VOC:	Al+kuwrs
        GLOSS:	the+course

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P31W2
      OFFSETS:	7-9
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بالنسبالي
     IS_TRANS:	bAlnsbAly
        INDEX:	P31W3
      OFFSETS:	10-19
       TOKENS:	P31W3-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAlnisobap_liy)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG+PREP+PRON_3MS
          VOC:	bi+Al+nisob+ap+li+iy
        GLOSS:	by/with+the+link/relation (concerning/regarding)+[fem.sg.]+for/to+he/it

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P31W4
      OFFSETS:	20-23
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wahom_1]
   UNSPLITVOC:	(wahom)
          POS:	NOUN
          VOC:	wahom
        GLOSS:	delusion/imagination/delusions/imaginations

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P31W5
      OFFSETS:	24-25
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P32W1
      OFFSETS:	0-2
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P32W2
      OFFSETS:	3-7
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P33W2
      OFFSETS:	3-6
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves/soul/souls

 INPUT STRING:	الدوكتورز
     IS_TRANS:	Aldwktwrz
        INDEX:	P33W3
      OFFSETS:	7-16
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Aldwktwrz)
          POS:	FOREIGN
          VOC:	Aldwktwrz
        GLOSS:	nogloss

 INPUT STRING:	بيديكو
     IS_TRANS:	bydykw
        INDEX:	P33W4
      OFFSETS:	17-23
       TOKENS:	P33W4-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(biyid~iykuw)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:2P
          VOC:	bi+yi+d~iy+kuw
        GLOSS:	[present-tense]+he/it+give/provide/hand over/be given/be provided/carry out/perform/lead+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W5
      OFFSETS:	23-24
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P33W6
      OFFSETS:	25-28
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P33W7
      OFFSETS:	29-32
       TOKENS:	P33W9-P33W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P33W8
      OFFSETS:	33-37
       TOKENS:	P33W11-P33W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W9
      OFFSETS:	37-38
       TOKENS:	P33W12-P33W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P34W1
      OFFSETS:	0-4
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P34W2
      OFFSETS:	5-9
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P35W1
      OFFSETS:	0-3
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	والقديم
     IS_TRANS:	wAlqdym
        INDEX:	P35W2
      OFFSETS:	4-11
       TOKENS:	P35W2-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Alqadiym_1]
   UNSPLITVOC:	(wiAlqadiym)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+qadiym
        GLOSS:	and+the+old/ancient/ancients

 INPUT STRING:	بيدرس
     IS_TRANS:	bydrs
        INDEX:	P35W3
      OFFSETS:	12-17
       TOKENS:	P35W4-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dar~is_1]
   UNSPLITVOC:	(biyidar~is)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+dar~is
        GLOSS:	[present-tense]+he/it+teach/instruct

 INPUT STRING:	ال
