 INPUT STRING:	أزيك
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P28W26
      OFFSETS:	141-145
       TOKENS:	P28W37-P28W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	fils (small coin)/fils (small coins)/money

 INPUT STRING:	فبيبقي
     IS_TRANS:	fbybqy
        INDEX:	P28W27
      OFFSETS:	146-152
       TOKENS:	P28W38-P28W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(fabiyiboqaY)
          POS:	CONJ+PROG_PART+IV3MS+IV
          VOC:	fa+bi+yi+boqaY
        GLOSS:	so/and+[present-tense]+he/it+become/begin/start/be/begin a new day

 INPUT STRING:	صعب
     IS_TRANS:	SEb
        INDEX:	P28W28
      OFFSETS:	153-156
       TOKENS:	P28W41-P28W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(SaEob)
          POS:	ADJ
          VOC:	SaEob
        GLOSS:	difficult/hard/arduous

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P28W29
      OFFSETS:	157-162
       TOKENS:	P28W42-P28W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	يستغنوا
     IS_TRANS:	ystgnwA
        INDEX:	P28W30
      OFFSETS:	163-170
       TOKENS:	P28W44-P28W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotagonaY_1]
   UNSPLITVOC:	(yisotagonuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotagon+uwA
        GLOSS:	they (people)+dispense with/manage without+[masc.pl.]

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P28W31
      OFFSETS:	171-175
       TOKENS:	P28W45-P28W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Ean~_1]
   UNSPLITVOC:	(Ean~ahA)
          POS:	PREP+PRON_3FS
          VOC:	Ean~+hA
        GLOSS:	(away) from/off/about/on/over+it/she

 INPUT STRING:	لمدة
     IS_TRANS:	lmdp
        INDEX:	P28W32
      OFFSETS:	176-180
       TOKENS:	P28W47-P28W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mud~ap_1]
   UNSPLITVOC:	(limud~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+mud~+ap
        GLOSS:	for/to+period of time/interval+[fem.sg.]

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P28W33
      OFFSETS:	181-184
       TOKENS:	P28W49-P28W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	few/several

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P28W34
      OFFSETS:	185-188
       TOKENS:	P28W50-P28W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P28W35
      OFFSETS:	189-192
       TOKENS:	P28W51-P28W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	يحاولوا
     IS_TRANS:	yHAwlwA
        INDEX:	P28W36
      OFFSETS:	193-200
       TOKENS:	P28W52-P28W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(yiHAwoluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+HAwol+uwA
        GLOSS:	they+test/try/attempt/try out/test for ripeness/explore/invent/originate+they

 INPUT STRING:	يدرسوا
     IS_TRANS:	ydrswA
        INDEX:	P28W37
      OFFSETS:	201-207
       TOKENS:	P28W53-P28W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daras_1]
   UNSPLITVOC:	(yidorisuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+doris+uwA
        GLOSS:	they+study/learn/be studied/be learned+they

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P28W38
      OFFSETS:	208-212
       TOKENS:	P28W54-P28W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W39
      OFFSETS:	212-213
       TOKENS:	P28W55-P28W55
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P28W40
      OFFSETS:	214-217
       TOKENS:	P28W56-P28W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأحب
     IS_TRANS:	b>Hb
        INDEX:	P28W41
      OFFSETS:	218-222
       TOKENS:	P28W57-P28W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love/like/want

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P28W42
      OFFSETS:	223-227
       TOKENS:	P28W59-P28W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be/was/were

 INPUT STRING:	علقه
     IS_TRANS:	Elqh
        INDEX:	P28W43
      OFFSETS:	228-232
       TOKENS:	P28W60-P28W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealoqap_1]
   UNSPLITVOC:	(Ealoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ealoq+ap
        GLOSS:	a whang+[fem.sg.]

 INPUT STRING:	مره
     IS_TRANS:	mrh
        INDEX:	P28W44
      OFFSETS:	233-236
       TOKENS:	P28W61-P28W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P28W45
      OFFSETS:	237-242
       TOKENS:	P28W62-P28W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	وتخلص
     IS_TRANS:	wtxlS
        INDEX:	P28W46
      OFFSETS:	243-248
       TOKENS:	P28W63-P28W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(witixolaS)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+xolaS
        GLOSS:	and+it/they/she+be depleted/dwindle/sell out/purify/refine/clarify/become passable/consume utterly

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P29W2
      OFFSETS:	5-7
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right/against/towards/rights/law

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P29W3
      OFFSETS:	8-12
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	خصوصا
     IS_TRANS:	xSwSA
        INDEX:	P29W4
      OFFSETS:	13-18
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(xuSuwSAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xuSuwS+AF
        GLOSS:	matter/issue/regard/respect/especially/in particular+[acc.indef.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P29W5
      OFFSETS:	19-22
       TOKENS:	P29W6-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P29W6
      OFFSETS:	23-26
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P29W7
      OFFSETS:	27-31
       TOKENS:	P29W9-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	التخصص
     IS_TRANS:	AltxSS
        INDEX:	P29W8
      OFFSETS:	32-38
       TOKENS:	P29W10-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxaS~uS_1]
   UNSPLITVOC:	(AltaxaS~uS)
          POS:	DET+NOUN
          VOC:	Al+taxaS~uS
        GLOSS:	the+specialization/major field

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P29W9
      OFFSETS:	39-41
       TOKENS:	P29W11-P29W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P29W10
      OFFSETS:	42-46
       TOKENS:	P29W12-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P30W1
      OFFSETS:	0-4
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يوفقهم
     IS_TRANS:	ywfqhm
        INDEX:	P30W2
      OFFSETS:	5-11
       TOKENS:	P30W3-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~aq_1]
   UNSPLITVOC:	(yiwaf~aqhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yi+waf~aq+hum
        GLOSS:	he/it+grant success/be granted success/be successful+them

 INPUT STRING:	وخلاص
     IS_TRANS:	wxlAS
        INDEX:	P30W3
      OFFSETS:	12-17
       TOKENS:	P30W5-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(wixalAS)
          POS:	CONJ+NOUN
          VOC:	wi+xalAS
        GLOSS:	and+deliverance/salvation/settlement

 INPUT STRING:	إنما
     IS_TRANS:	<nmA
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	PART
          VOC:	<in~amA
        GLOSS:	however

 INPUT STRING:	قولى
     IS_TRANS:	qwlY
        INDEX:	P31W2
      OFFSETS:	5-9
       TOKENS:	P31W2-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlliy)
          POS:	CV+CVSUFF_SUBJ:2MS+PREP+PRON_1S
          VOC:	quwl+(null)+li+iy
        GLOSS:	say+you+to/for+i

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P31W3
      OFFSETS:	10-12
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P31W4
      OFFSETS:	13-16
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P31W5
      OFFSETS:	17-22
       TOKENS:	P31W7-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+uh+$
        GLOSS:	not+in+it/he+not

 INPUT STRING:	حيوانات
     IS_TRANS:	HywAnAt
        INDEX:	P31W6
      OFFSETS:	23-30
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayawAn_1]
   UNSPLITVOC:	(HayawAnAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HayawAn+At
        GLOSS:	animal/creature+[fem.pl.]

 INPUT STRING:	تانية
     IS_TRANS:	tAnyp
        INDEX:	P31W7
      OFFSETS:	31-36
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second/next/II/secondly/thani/other/another/the last+[fem.sg.]

 INPUT STRING:	مشتركة
     IS_TRANS:	m$trkp
        INDEX:	P31W8
      OFFSETS:	37-43
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$otarak_1]
   UNSPLITVOC:	(mu$otarakap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mu$otarak+ap
        GLOSS:	shared/common/joint/collective+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P31W9
      OFFSETS:	44-46
       TOKENS:	P31W14-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدردشة
     IS_TRANS:	Aldrd$p
        INDEX:	P31W10
      OFFSETS:	47-54
       TOKENS:	P31W15-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daroda$ap_1]
   UNSPLITVOC:	(Aldaroda$ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daroda$+ap
        GLOSS:	the+chat/conversation+[fem.sg.]

 INPUT STRING:	أميييين
     IS_TRANS:	>myyyyn
        INDEX:	P32W1
      OFFSETS:	0-7
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|miyn_1]
   UNSPLITVOC:	(|miyn)
          POS:	VERB
          VOC:	|miyn
        GLOSS:	amen!

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P32W2
      OFFSETS:	8-10
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P32W3
      OFFSETS:	11-13
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	يوفق
     IS_TRANS:	ywfq
        INDEX:	P32W4
      OFFSETS:	14-18
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~aq_1]
   UNSPLITVOC:	(yiwaf~aq)
          POS:	IV3MS+IV
          VOC:	yi+waf~aq
        GLOSS:	he/it+grant success/be granted success/be successful

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P32W5
      OFFSETS:	19-21
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P32W6
      OFFSETS:	22-28
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	والشابات
     IS_TRANS:	wAl$AbAt
        INDEX:	P32W7
      OFFSETS:	29-37
       TOKENS:	P32W7-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Ab~ap_1]
   UNSPLITVOC:	(waAl$Ab~At)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wa+Al+$Ab~+At
        GLOSS:	and+the+young woman+[fem.pl.]

 INPUT STRING:	ويحسن
     IS_TRANS:	wyHsn
        INDEX:	P32W8
      OFFSETS:	38-43
       TOKENS:	P32W9-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Has~in_1]
   UNSPLITVOC:	(wiyiHas~in)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Has~in
        GLOSS:	and+he/it+decorate/improve

 INPUT STRING:	ليهم
     IS_TRANS:	lyhm
        INDEX:	P32W9
      OFFSETS:	44-48
       TOKENS:	P32W11-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lihum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+they

 INPUT STRING:	المستقبل
     IS_TRANS:	Almstqbl
        INDEX:	P32W10
      OFFSETS:	49-57
       TOKENS:	P32W13-P32W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(Almusotaqobal)
          POS:	DET+NOUN
          VOC:	Al+musotaqobal
        GLOSS:	the+future/in the future

 INPUT STRING:	ويحافظ
     IS_TRANS:	wyHAfZ
        INDEX:	P32W11
      OFFSETS:	58-64
       TOKENS:	P32W14-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAfiZ_1]
   UNSPLITVOC:	(wiyiHAfiZ)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+HAfiZ
        GLOSS:	and+he/it+preserve/protect

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P32W12
      OFFSETS:	65-70
       TOKENS:	P32W16-P32W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P33W2
      OFFSETS:	3-7
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry/questions/inquiries

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P33W3
      OFFSETS:	8-12
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P33W4
      OFFSETS:	13-16
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	بتدردش
     IS_TRANS:	btdrd$
        INDEX:	P33W5
      OFFSETS:	17-23
       TOKENS:	P33W5-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dardi$_1]
   UNSPLITVOC:	(bitidardi$)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+dardi$
        GLOSS:	[progressive]+it/she+chat

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P33W6
      OFFSETS:	24-26
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
