 INPUT STRING:	بابا
        LEMMA:	[Hin~ap_1]
   UNSPLITVOC:	(AlHin~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hin~+ap
        GLOSS:	the+henna+[fem.sg.]

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P19W2
      OFFSETS:	5-9
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P19W3
      OFFSETS:	10-14
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	ومفرح
     IS_TRANS:	wmfrH
        INDEX:	P19W4
      OFFSETS:	15-20
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mufriH_1]
   UNSPLITVOC:	(wimufriH)
          POS:	CONJ+ADJ
          VOC:	wi+mufriH
        GLOSS:	and+pleasure

 INPUT STRING:	والمبخرة
     IS_TRANS:	wAlmbxrp
        INDEX:	P19W5
      OFFSETS:	21-29
       TOKENS:	P19W6-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboxarap_1]
   UNSPLITVOC:	(wiAlmaboxarap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+maboxar+ap
        GLOSS:	and+the+censer+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W6
      OFFSETS:	29-30
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P19W7
      OFFSETS:	31-35
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	فضة
     IS_TRANS:	fDp
        INDEX:	P19W8
      OFFSETS:	36-39
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faD~ap_1]
   UNSPLITVOC:	(faD~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	faD~+ap
        GLOSS:	silver+[fem.sg.]

 INPUT STRING:	حيكملوا
     IS_TRANS:	HykmlwA
        INDEX:	P19W9
      OFFSETS:	40-47
       TOKENS:	P19W11-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(Hayikam~iluwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+kam~il+uwA
        GLOSS:	will+they+complete/finish+we

 INPUT STRING:	bED
     IS_TRANS:	bED
        INDEX:	P19W10
      OFFSETS:	48-51
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN
          VOC:	baEoD
        GLOSS:	some/a few/little/part/part of/a little of/one another/each other

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P20W2
      OFFSETS:	5-8
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P20W3
      OFFSETS:	9-11
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W4
      OFFSETS:	12-13
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	صينية
     IS_TRANS:	Synyp
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Siyniy~ap_1]
   UNSPLITVOC:	(Siyniy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Siyniy~+ap
        GLOSS:	porcelain/china+[fem.sg.]

 INPUT STRING:	الحنة
     IS_TRANS:	AlHnp
        INDEX:	P21W2
      OFFSETS:	6-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hin~ap_1]
   UNSPLITVOC:	(AlHin~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hin~+ap
        GLOSS:	the+henna+[fem.sg.]

 INPUT STRING:	الوردة
     IS_TRANS:	Alwrdp
        INDEX:	P22W1
      OFFSETS:	0-6
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warodap_1]
   UNSPLITVOC:	(Alwarodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+warod+ap
        GLOSS:	the+rose+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P22W2
      OFFSETS:	7-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	هيتحط
     IS_TRANS:	hytHT
        INDEX:	P22W3
      OFFSETS:	10-15
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HayitoHaT~)
          POS:	FUT_PART+IV3MS+IV_PASS
          VOC:	Ha+yi+toHaT~
        GLOSS:	will+he/it+descend/land/set down/lower

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P22W4
      OFFSETS:	16-20
       TOKENS:	P22W5-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it

 INPUT STRING:	الحنة
     IS_TRANS:	AlHnp
        INDEX:	P22W5
      OFFSETS:	21-26
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hin~ap_1]
   UNSPLITVOC:	(AlHin~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hin~+ap
        GLOSS:	the+henna+[fem.sg.]

 INPUT STRING:	مفرش
     IS_TRANS:	mfr$
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mafora$_1]
   UNSPLITVOC:	(mafora$)
          POS:	NOUN
          VOC:	mafora$
        GLOSS:	bedding/tablecloths

 INPUT STRING:	السرير
     IS_TRANS:	Alsryr
        INDEX:	P23W2
      OFFSETS:	5-11
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siriyr_1]
   UNSPLITVOC:	(Alsiriyr)
          POS:	DET+NOUN
          VOC:	Al+siriyr
        GLOSS:	the+bed/couch/beds/couches

 INPUT STRING:	الأبيض
     IS_TRANS:	Al>byD
        INDEX:	P23W3
      OFFSETS:	12-18
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(Al>aboyaD)
          POS:	DET+ADJ
          VOC:	Al+>aboyaD
        GLOSS:	the+white

 INPUT STRING:	١٣٠٠
     IS_TRANS:	&#x661;&#x663;&#x660;&#x660;
        INDEX:	P23W4
      OFFSETS:	19-23
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1300)
          POS:	NOUN_NUM
          VOC:	1300
        GLOSS:	1300

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P23W5
      OFFSETS:	24-28
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)/pounds (currency)/pound/one pound/golden pound/a pound/touched in the head/stolen

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P23W6
      OFFSETS:	29-33
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	ميعادي
     IS_TRANS:	myEAdy
        INDEX:	P23W7
      OFFSETS:	34-40
       TOKENS:	P23W7-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyEAd_1]
   UNSPLITVOC:	(miyEAdiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	miyEAd+iy
        GLOSS:	promise/promises/appointment/appointed time/appointments/appointed times+my

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P23W8
      OFFSETS:	41-43
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P23W9
      OFFSETS:	44-48
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	هشترية
     IS_TRANS:	h$tryp
        INDEX:	P23W10
      OFFSETS:	49-55
       TOKENS:	P23W11-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(HaAa$otiriyh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+$otiriy+uh
        GLOSS:	will+I+buy+it/him

 INPUT STRING:	mnh
     IS_TRANS:	mnh
        INDEX:	P23W11
      OFFSETS:	56-59
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+it/she

 INPUT STRING:	بإذن
     IS_TRANS:	b<*n
        INDEX:	P23W12
      OFFSETS:	60-64
       TOKENS:	P23W16-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(bi<i*on)
          POS:	PREP+NOUN
          VOC:	bi+<i*on
        GLOSS:	with/by+permission/authorization/bonds

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P23W13
      OFFSETS:	65-69
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ywm
     IS_TRANS:	ywm
        INDEX:	P23W14
      OFFSETS:	70-73
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	الجمعة
     IS_TRANS:	AljmEp
        INDEX:	P23W15
      OFFSETS:	74-80
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(AljumoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumoE+ap
        GLOSS:	the+Friday+[fem.sg.]

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P23W16
      OFFSETS:	81-83
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصباح
     IS_TRANS:	AlSbAH
        INDEX:	P23W17
      OFFSETS:	84-90
       TOKENS:	P23W22-P23W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(AlSabAH)
          POS:	DET+NOUN
          VOC:	Al+SabAH
        GLOSS:	the+morning/in the morning

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W18
      OFFSETS:	91-92
       TOKENS:	P23W23-P23W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W19
      OFFSETS:	92-93
       TOKENS:	P23W24-P23W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W20
      OFFSETS:	93-94
       TOKENS:	P23W25-P23W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اشتري
     IS_TRANS:	A$try
        INDEX:	P23W21
      OFFSETS:	95-100
       TOKENS:	P23W26-P23W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(Aa$otiriy)
          POS:	IV1S+IV
          VOC:	Aa+$otiriy
        GLOSS:	I+buy

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P23W22
      OFFSETS:	101-104
       TOKENS:	P23W27-P23W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P23W23
      OFFSETS:	105-107
       TOKENS:	P23W28-P23W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W24
      OFFSETS:	107-108
       TOKENS:	P23W29-P23W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W25
      OFFSETS:	109-110
       TOKENS:	P23W30-P23W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W26
      OFFSETS:	110-111
       TOKENS:	P23W31-P23W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W27
      OFFSETS:	111-112
       TOKENS:	P23W32-P23W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	وجلاليب
     IS_TRANS:	wjlAlyb
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jalabiyap_1]
   UNSPLITVOC:	(wijalaAliyb)
          POS:	CONJ+NOUN
          VOC:	wi+jalaAliyb
        GLOSS:	and+dresses

 INPUT STRING:	الرقص
     IS_TRANS:	AlrqS
        INDEX:	P24W2
      OFFSETS:	8-13
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqoS_1]
   UNSPLITVOC:	(AlraqoS)
          POS:	DET+NOUN
          VOC:	Al+raqoS
        GLOSS:	the+dancing/dance

 INPUT STRING:	عددهم
     IS_TRANS:	Eddhm
        INDEX:	P24W3
      OFFSETS:	14-19
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadadhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eadad+hum
        GLOSS:	number/quantity/issue/numbers/issues+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W4
      OFFSETS:	19-20
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P24W5
      OFFSETS:	21-22
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	١١
     IS_TRANS:	&#x661;&#x661;
        INDEX:	P24W6
      OFFSETS:	22-24
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(11)
          POS:	NOUN_NUM
          VOC:	11
        GLOSS:	11

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P24W7
      OFFSETS:	24-25
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	١٠
     IS_TRANS:	&#x661;&#x660;
        INDEX:	P24W8
      OFFSETS:	26-28
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	عاديين
     IS_TRANS:	EAdyyn
        INDEX:	P24W9
      OFFSETS:	29-35
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAdiy~+iyn
        GLOSS:	aggressive/hostile+[pl.]

 INPUT STRING:	وواحدة
     IS_TRANS:	wwAHdp
        INDEX:	P24W10
      OFFSETS:	36-42
       TOKENS:	P24W12-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wiwAHodap)
          POS:	CONJ+NOUN_NUM+NSUFF_FEM_SG
          VOC:	wi+wAHod+ap
        GLOSS:	and+one+[fem.sg]

 INPUT STRING:	مختلفة
     IS_TRANS:	mxtlfp
        INDEX:	P24W11
      OFFSETS:	43-49
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(muxotalifap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muxotalif+ap
        GLOSS:	different/various+[fem.sg.]

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P24W12
      OFFSETS:	50-51
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P24W13
      OFFSETS:	52-57
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	للعروسة
     IS_TRANS:	llErwsp
        INDEX:	P24W14
      OFFSETS:	58-65
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earuwsap_1]
   UNSPLITVOC:	(lilEaruwsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+Earuws+ap
        GLOSS:	for/to+the+bride+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W15
      OFFSETS:	66-67
       TOKENS:	P24W19-P24W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W16
      OFFSETS:	67-68
       TOKENS:	P24W20-P24W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W17
      OFFSETS:	68-69
       TOKENS:	P24W21-P24W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	SH
     IS_TRANS:	SH
        INDEX:	P24W18
