 INPUT STRING:	أريك
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P16W5
      OFFSETS:	21-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أوله
     IS_TRANS:	>wlh
        INDEX:	P16W6
      OFFSETS:	24-28
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~iluh)
          POS:	ADJ+POSS_PRON_3MS
          VOC:	>aw~il+uh
        GLOSS:	first+his/its

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P16W7
      OFFSETS:	29-33
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lis~ap_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+yet

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P16W8
      OFFSETS:	34-37
       TOKENS:	P16W10-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyuh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/he

 INPUT STRING:	فرص
     IS_TRANS:	frS
        INDEX:	P16W9
      OFFSETS:	38-41
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(furaS)
          POS:	NOUN
          VOC:	furaS
        GLOSS:	opportunity/chance/opportunities/chances/holiday/holidays

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P16W10
      OFFSETS:	42-46
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	بيتهيالي
     IS_TRANS:	bythyAly
        INDEX:	P17W1
      OFFSETS:	0-8
       TOKENS:	P17W1-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitohay~a>_1]
   UNSPLITVOC:	(biyitohay~a>_liy)
          POS:	PROG_PART+IV3MS+IV+PREP+PRON_1S
          VOC:	bi+yi+tohay~a>+li+iy
        GLOSS:	[present-tense]+he/it+be mobilized/be prepared/mobilize/prepare/put in god shape/give a god finish to+to/for+I

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P17W2
      OFFSETS:	9-13
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P17W3
      OFFSETS:	14-18
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P17W4
      OFFSETS:	19-25
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN
          VOC:	Al+wAHid
        GLOSS:	the+ones

 INPUT STRING:	يغير
     IS_TRANS:	ygyr
        INDEX:	P17W5
      OFFSETS:	26-30
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(yigay~ar)
          POS:	IV3MS+IV
          VOC:	yi+gay~ar
        GLOSS:	he/it+change/modify

 INPUT STRING:	مره
     IS_TRANS:	mrh
        INDEX:	P17W6
      OFFSETS:	31-34
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	تانية
     IS_TRANS:	tAnyp
        INDEX:	P17W7
      OFFSETS:	35-40
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second/next/II/secondly/thani/other/another/the last+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P17W8
      OFFSETS:	41-45
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	الصيف
     IS_TRANS:	AlSyf
        INDEX:	P17W9
      OFFSETS:	46-51
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Siyf_1]
   UNSPLITVOC:	(AlSiyf)
          POS:	DET+NOUN
          VOC:	Al+Siyf
        GLOSS:	the+summer/summers

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P17W10
      OFFSETS:	52-54
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	الفتره
     IS_TRANS:	Alftrh
        INDEX:	P17W11
      OFFSETS:	55-61
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	الوحيدة
     IS_TRANS:	AlwHydp
        INDEX:	P17W12
      OFFSETS:	62-69
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waHiyd+ap
        GLOSS:	the+only/sole/alone/exclusive+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P17W13
      OFFSETS:	70-73
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P17W14
      OFFSETS:	74-78
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P17W15
      OFFSETS:	79-83
       TOKENS:	P17W19-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/she

 INPUT STRING:	بيسمح
     IS_TRANS:	bysmH
        INDEX:	P17W16
      OFFSETS:	84-89
       TOKENS:	P17W21-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(biyisomaH)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+somaH
        GLOSS:	[present-tense]+he/it+allow/permit/authorize/be allowed/be permitted/be authorized

 INPUT STRING:	بالرحلات
     IS_TRANS:	bAlrHlAt
        INDEX:	P17W17
      OFFSETS:	90-98
       TOKENS:	P17W23-P17W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riHolap_1]
   UNSPLITVOC:	(biAlriHolAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+riHol+At
        GLOSS:	with/by+the+career/journey/careers/journeys/trip/voyage/trips/voyages+[fem.pl.]

