 INPUT STRING:	ولاء
      OFFSETS:	18-22
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Axsn)
          POS:	TYPO
          VOC:	Axsn
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W6
      OFFSETS:	23-25
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	القطيفه
     IS_TRANS:	AlqTyfh
        INDEX:	P18W7
      OFFSETS:	26-33
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTiyfap_1]
   UNSPLITVOC:	(AlqaTiyfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaTiyf+ap
        GLOSS:	the+pastry+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(>anA)
          POS:	PRON_1S
          VOC:	>anA
        GLOSS:	I

 INPUT STRING:	محتاره
     IS_TRANS:	mHtArh
        INDEX:	P19W2
      OFFSETS:	4-10
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAr_1]
   UNSPLITVOC:	(muHotArap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miHotAr+ap
        GLOSS:	be confused/confused/worried/uncertain/baffled+[fem.sg.]

 INPUT STRING:	قطن
     IS_TRANS:	qTn
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quTon_1]
   UNSPLITVOC:	(quTon)
          POS:	NOUN
          VOC:	quTon
        GLOSS:	cotton

 INPUT STRING:	بكم
     IS_TRANS:	bkm
        INDEX:	P20W2
      OFFSETS:	4-7
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kum~_1]
   UNSPLITVOC:	(bikum~)
          POS:	PREP+NOUN
          VOC:	bi+kum~
        GLOSS:	with/by+armhole

 INPUT STRING:	طويل
     IS_TRANS:	Twyl
        INDEX:	P20W3
      OFFSETS:	8-12
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(Tawiyl)
          POS:	ADJ
          VOC:	Tawiyl
        GLOSS:	tall/long/for a long time/at length/extensively

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W4
      OFFSETS:	13-14
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(.)
          POS:	TYPO
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W5
      OFFSETS:	14-15
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(.)
          POS:	TYPO
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P20W6
      OFFSETS:	15-18
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P20W7
      OFFSETS:	19-23
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P20W8
      OFFSETS:	24-26
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi$~_1]
   UNSPLITVOC:	(mi$~)
          POS:	NEG_PART
          VOC:	mi$~
        GLOSS:	not

 INPUT STRING:	مفهوم
     IS_TRANS:	mfhwm
        INDEX:	P20W9
      OFFSETS:	27-32
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mafohuwm_1]
   UNSPLITVOC:	(mafohuwm)
          POS:	ADJ
          VOC:	mafohuwm
        GLOSS:	understood

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P20W10
      OFFSETS:	33-37
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P20W11
      OFFSETS:	38-42
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiElAF_1]
   UNSPLITVOC:	(fiElAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEl+AF
        GLOSS:	actually/action/in effect+[acc.indef.]

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P21W2
      OFFSETS:	5-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	برد
     IS_TRANS:	brd
        INDEX:	P21W3
      OFFSETS:	12-15
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barod_1]
   UNSPLITVOC:	(barod)
          POS:	NOUN
          VOC:	barod
        GLOSS:	cold/cooling

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(wi>anA)
          POS:	CONJ+PRON_1S
          VOC:	wi+>anA
        GLOSS:	and+I

 INPUT STRING:	حولد
     IS_TRANS:	Hwld
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wilid_1]
   UNSPLITVOC:	(HaAawolid)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+wolid
        GLOSS:	will+I+give birth to

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P22W3
      OFFSETS:	10-14
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P22W4
      OFFSETS:	15-18
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	ونص
     IS_TRANS:	wnS
        INDEX:	P22W5
      OFFSETS:	19-22
       TOKENS:	P22W7-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(winuS~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+nuS~
        GLOSS:	and+halves/half/centre half/splitting/crack/gap/cracks/gaps

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P22W6
      OFFSETS:	23-26
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/like/something like/such/like that/that way/that

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P22W7
      OFFSETS:	27-29
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P22W8
      OFFSETS:	30-33
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P22W9
      OFFSETS:	34-38
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W10
      OFFSETS:	39-41
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi$~_1]
   UNSPLITVOC:	(mi$~)
          POS:	NEG_PART
          VOC:	mi$~
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P22W11
      OFFSETS:	42-47
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P22W12
      OFFSETS:	48-52
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	نظامه
     IS_TRANS:	nZAmh
        INDEX:	P22W13
      OFFSETS:	53-58
       TOKENS:	P22W16-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	niZAm+uh
        GLOSS:	regime/government/regimes/governments/systems/methodology/system/order+his/its

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P22W14
      OFFSETS:	59-62
       TOKENS:	P22W18-P22W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	why/where/when/whatever/what/which

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	اعتقد
     IS_TRANS:	AEtqd
        INDEX:	P23W2
      OFFSETS:	3-8
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<iEtaqad_1]
   UNSPLITVOC:	(AaEotaqid)
          POS:	IV1S+IV
          VOC:	Aa+Eotaqid
        GLOSS:	I+believe/think

 INPUT STRING:	القطيفة
     IS_TRANS:	AlqTyfp
        INDEX:	P23W3
      OFFSETS:	9-16
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTiyfap_1]
   UNSPLITVOC:	(AlqaTiyfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaTiyf+ap
        GLOSS:	the+pastry+[fem.sg.]

 INPUT STRING:	حيبقى
     IS_TRANS:	HybqY
        INDEX:	P23W4
      OFFSETS:	17-22
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HayiboqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+boqaY
        GLOSS:	will+he/it+be/became/become/last/remain

 INPUT STRING:	تقيل
     IS_TRANS:	tqyl
        INDEX:	P23W5
      OFFSETS:	23-27
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiqiyl_1]
   UNSPLITVOC:	(tiqiyl)
          POS:	ADJ
          VOC:	tiqiyl
        GLOSS:	heavy/oppressive/difficult/burdensome/cheeky/insupportable/thick/viscous

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P23W6
      OFFSETS:	28-31
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy~_1]
   UNSPLITVOC:	(>awiy~)
          POS:	ADJ
          VOC:	qawiy~
        GLOSS:	strong/powerful

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P23W7
      OFFSETS:	32-37
       TOKENS:	P23W8-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahu)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P23W8
      OFFSETS:	38-42
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P23W9
      OFFSETS:	43-44
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P23W10
      OFFSETS:	44-45
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<inotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you

 INPUT STRING:	لسة
     IS_TRANS:	lsp
        INDEX:	P24W2
      OFFSETS:	5-8
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	حتجيبي
     IS_TRANS:	Htjyby
        INDEX:	P24W3
      OFFSETS:	9-15
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Hatijiybiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+jiyb+iy
        GLOSS:	will+you+bring+you

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P24W4
      OFFSETS:	16-20
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W5
      OFFSETS:	20-21
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W6
      OFFSETS:	21-22
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	متجبيش
     IS_TRANS:	mtjby$
        INDEX:	P24W7
      OFFSETS:	22-28
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mtjby$)
          POS:	NO_FUNC
          VOC:	mtjby$
        GLOSS:	nogloss

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P24W8
      OFFSETS:	29-33
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P24W9
      OFFSETS:	34-37
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baq~aY_1]
   UNSPLITVOC:	(baq~aY)
          POS:	ADV
          VOC:	baq~aY
        GLOSS:	then/so

 INPUT STRING:	كفاية
     IS_TRANS:	kfAyp
        INDEX:	P24W10
      OFFSETS:	38-43
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P24W11
      OFFSETS:	44-47
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	جبتيه
     IS_TRANS:	jbtyh
        INDEX:	P24W12
      OFFSETS:	48-53
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibtiyh)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:3MS
          VOC:	jib+tiy+uh
        GLOSS:	bring+you+it/him

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P24W13
      OFFSETS:	54-58
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يكرمك
     IS_TRANS:	ykrmk
        INDEX:	P24W14
      OFFSETS:	59-64
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akoram_1]
   UNSPLITVOC:	(yikorimik)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+korim+ik
        GLOSS:	he/it+honor/bestow honor upon/confer/be honored/be conferred+you

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	اصلي
     IS_TRANS:	ASly
        INDEX:	P25W2
      OFFSETS:	4-8
       TOKENS:	P25W2-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>aSol+iy
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+my

 INPUT STRING:	جبت
     IS_TRANS:	jbt
        INDEX:	P25W3
      OFFSETS:	9-12
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	jib+t
        GLOSS:	bring+I

 INPUT STRING:	خروج
     IS_TRANS:	xrwj
        INDEX:	P25W4
      OFFSETS:	13-17
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuruwj_1]
   UNSPLITVOC:	(xuruwj)
          POS:	NOUN
          VOC:	xuruwj
        GLOSS:	exit/getting out/departure/deviation/trimming/piping

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P25W5
      OFFSETS:	18-19
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	قطيفه
     IS_TRANS:	qTyfh
        INDEX:	P25W6
      OFFSETS:	20-25
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTiyfap_1]
   UNSPLITVOC:	(qaTiyfap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaTiyf+ap
        GLOSS:	pastry+[fem.sg.]

 INPUT STRING:	فاضل
     IS_TRANS:	fADl
        INDEX:	P25W7
      OFFSETS:	26-30
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(fADil)
          POS:	ADJ
          VOC:	fADil
        GLOSS:	remaining

 INPUT STRING:	القطن
     IS_TRANS:	AlqTn
        INDEX:	P25W8
      OFFSETS:	31-36
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quTon_1]
   UNSPLITVOC:	(AlquTon)
          POS:	DET+NOUN
          VOC:	Al+quTon
