 INPUT STRING:	سارة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainoti_1]
   UNSPLITVOC:	(Ainoti)
          POS:	PRON_2FS
          VOC:	Ainoti
        GLOSS:	you[fem.]

 INPUT STRING:	ناوية
     IS_TRANS:	nAwyp
        INDEX:	P28W3
      OFFSETS:	7-12
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAwiy_1]
   UNSPLITVOC:	(nAwoyap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	nAwoy+ap
        GLOSS:	intending+[fem.sg.]

 INPUT STRING:	تعدي
     IS_TRANS:	tEdy
        INDEX:	P28W4
      OFFSETS:	13-17
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(tiEad~iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Ead~+iy
        GLOSS:	you+traverse/cross/be traversed/be crossed+you

 INPUT STRING:	تدفعي
     IS_TRANS:	tdfEy
        INDEX:	P28W5
      OFFSETS:	18-23
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(tidofaEiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+dofaE+iy
        GLOSS:	you+push/motivate/pay/be pushed/be motivated/be paid+you

 INPUT STRING:	الشهر
     IS_TRANS:	Al$hr
        INDEX:	P28W6
      OFFSETS:	24-29
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	(Al$ahor)
          POS:	DET+NOUN
          VOC:	Al+$ahor
        GLOSS:	the+month/months

 INPUT STRING:	btAE
     IS_TRANS:	btAE
        INDEX:	P28W7
      OFFSETS:	30-34
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	الجمعية
     IS_TRANS:	AljmEyp
        INDEX:	P28W8
      OFFSETS:	35-42
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamoEiy~ap_1]
   UNSPLITVOC:	(AljamoEiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jamoEiy~+ap
        GLOSS:	the+association/society/associations/societies+[fem.sg.]

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P28W9
      OFFSETS:	43-47
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W10
      OFFSETS:	48-49
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W11
      OFFSETS:	49-50
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P28W12
      OFFSETS:	51-55
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+become/begin/start/be/begin a new day

 INPUT STRING:	فرصة
     IS_TRANS:	frSp
        INDEX:	P28W13
      OFFSETS:	56-60
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(furoSap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	furoS+ap
        GLOSS:	opportunity/chance/opportunities/chances/holiday/holidays+[fem.sg.]

 INPUT STRING:	اشوفك
     IS_TRANS:	A$wfk
        INDEX:	P28W14
      OFFSETS:	61-66
       TOKENS:	P28W14-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+$uwf+ik
        GLOSS:	I+look+you

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P28W15
      OFFSETS:	67-68
       TOKENS:	P28W16-P28W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P28W16
      OFFSETS:	68-69
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	nogloss

 INPUT STRING:	أحيه
     IS_TRANS:	>Hyh
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AH~ayoh_1]
   UNSPLITVOC:	(AH~ayoh)
          POS:	INTERJ
          VOC:	AH~ayoh
        GLOSS:	to express surprise

 INPUT STRING:	الاتنين
     IS_TRANS:	AlAtnyn
        INDEX:	P30W1
      OFFSETS:	0-7
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aivonayn_1]
   UNSPLITVOC:	(AlAitonayn)
          POS:	DET+NOUN
          VOC:	Al+Aivonayn
        GLOSS:	the+monday

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P30W2
      OFFSETS:	8-10
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	$
     IS_TRANS:	$
        INDEX:	P30W3
      OFFSETS:	11-12
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	($)
          POS:	PUNC
          VOC:	$
        GLOSS:	$

 INPUT STRING:	A
     IS_TRANS:	A
        INDEX:	P30W4
      OFFSETS:	12-13
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(A)
          POS:	PUNC
          VOC:	A
        GLOSS:	nogloss

 INPUT STRING:	'
     IS_TRANS:	'
        INDEX:	P30W5
      OFFSETS:	13-14
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(')
          POS:	PUNC
          VOC:	'
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P30W6
      OFFSETS:	15-19
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	INTERJ
          VOC:	mA$iy
        GLOSS:	ok

 INPUT STRING:	أقابلك
     IS_TRANS:	>qAblk
        INDEX:	P31W2
      OFFSETS:	5-11
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAbil_1]
   UNSPLITVOC:	(AaqAbilik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+qAbil+ik
        GLOSS:	I+meet/come upon+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P31W3
      OFFSETS:	12-14
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ريت
     IS_TRANS:	ryt
        INDEX:	P31W4
      OFFSETS:	15-18
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rayot_1]
   UNSPLITVOC:	(rayot)
          POS:	PSEUDO_VERB
          VOC:	rayot
        GLOSS:	Would that!/would God!/I wish!/if only!

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P31W5
      OFFSETS:	19-23
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P32W1
      OFFSETS:	0-3
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	حاولي
     IS_TRANS:	HAwly
        INDEX:	P32W2
      OFFSETS:	4-9
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwoliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	HAwol+iy
        GLOSS:	test/try/attempt/try out/test for ripeness/explore/invent/originate+you

 INPUT STRING:	تروحي
     IS_TRANS:	trwHy
        INDEX:	P32W3
      OFFSETS:	10-15
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(tiruwHiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+ruwH+iy
        GLOSS:	you+begin/go+you

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P32W4
      OFFSETS:	16-19
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	بدري
     IS_TRANS:	bdry
        INDEX:	P32W5
      OFFSETS:	20-24
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badoriy_1]
   UNSPLITVOC:	(badoriy)
          POS:	NOUN
          VOC:	badoriy
        GLOSS:	early/some time ago

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P32W6
      OFFSETS:	25-28
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ywm
     IS_TRANS:	ywm
        INDEX:	P32W7
      OFFSETS:	29-32
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	الاتنين
     IS_TRANS:	AlAtnyn
        INDEX:	P32W8
      OFFSETS:	33-40
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aivonayn_1]
   UNSPLITVOC:	(AlAitonayn)
          POS:	DET+NOUN
          VOC:	Al+Aivonayn
        GLOSS:	the+monday

 INPUT STRING:	
     IS_TRANS:	&#xe058;
        INDEX:	P32W9
      OFFSETS:	41-42
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe058;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	وفتي
     IS_TRANS:	wfty
        INDEX:	P33W1
      OFFSETS:	0-4
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wfty)
          POS:	TYPO
          VOC:	wfty
        GLOSS:	nogloss

 INPUT STRING:	ضيق
     IS_TRANS:	Dyq
        INDEX:	P33W2
      OFFSETS:	5-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Day~aq_1]
   UNSPLITVOC:	(Day~aq)
          POS:	ADJ
          VOC:	Day~aq
        GLOSS:	restricted/narrow

 INPUT STRING:	للأسف
     IS_TRANS:	ll>sf
        INDEX:	P33W3
      OFFSETS:	9-14
       TOKENS:	P33W3-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lilAsaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P33W4
      OFFSETS:	15-16
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P33W5
      OFFSETS:	17-21
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P33W6
      OFFSETS:	22-26
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	مأيدة
     IS_TRANS:	m>ydp
        INDEX:	P33W7
      OFFSETS:	27-32
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi>ay~id_1]
   UNSPLITVOC:	(mi>ay~idap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mi>ay~id+ap
        GLOSS:	supporting+[fem.sg.]

 INPUT STRING:	حركتي
     IS_TRANS:	Hrkty
        INDEX:	P33W8
      OFFSETS:	33-38
       TOKENS:	P33W9-P33W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakotiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Harak+ap+tiy
        GLOSS:	movements+[fem.sg.]+my

