 INPUT STRING:	الوو
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	بابي
     IS_TRANS:	bAby
        INDEX:	P218W5
      OFFSETS:	22-26
       TOKENS:	P218W5-P218W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAby)
          POS:	FOREIGN
          VOC:	bAby
        GLOSS:	nogloss

 INPUT STRING:	جونسون
     IS_TRANS:	jwnswn
        INDEX:	P218W6
      OFFSETS:	27-33
       TOKENS:	P218W6-P218W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jwnswn)
          POS:	FOREIGN
          VOC:	jwnswn
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P218W7
      OFFSETS:	34-36
       TOKENS:	P218W7-P218W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P219W1
      OFFSETS:	0-3
       TOKENS:	P219W1-P219W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P219W2
      OFFSETS:	4-6
       TOKENS:	P219W2-P219W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تخلصي
     IS_TRANS:	txlSy
        INDEX:	P219W3
      OFFSETS:	7-12
       TOKENS:	P219W3-P219W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(tixal~aSiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+xal~aS+iy
        GLOSS:	you+purify/refine/clarify+you

 INPUT STRING:	شور
     IS_TRANS:	$wr
        INDEX:	P219W4
      OFFSETS:	13-16
       TOKENS:	P219W4-P219W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	($wr)
          POS:	FOREIGN
          VOC:	$wr
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P219W5
      OFFSETS:	17-18
       TOKENS:	P219W5-P219W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	تغسلي
     IS_TRANS:	tgsly
        INDEX:	P219W6
      OFFSETS:	19-24
       TOKENS:	P219W6-P219W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gasal_1]
   UNSPLITVOC:	(tigosil~iy)
          POS:	IV2MS+IV+IVSUFF_DO:1S
          VOC:	ti+gosil+niy
        GLOSS:	you+wash/clean+me

 INPUT STRING:	شعرك
     IS_TRANS:	$Erk
        INDEX:	P219W7
      OFFSETS:	25-29
       TOKENS:	P219W8-P219W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEorik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	$aEor+ik
        GLOSS:	hair/hairs/hair-piece+your

 INPUT STRING:	حطي
     IS_TRANS:	HTy
        INDEX:	P219W8
      OFFSETS:	30-33
       TOKENS:	P219W10-P219W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HuT~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	HuT~+iy
        GLOSS:	descend/land/set down/lower+you

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P219W9
      OFFSETS:	34-37
       TOKENS:	P219W11-P219W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[min~_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P219W10
      OFFSETS:	38-41
       TOKENS:	P219W13-P219W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شعرك
     IS_TRANS:	$Erk
        INDEX:	P219W11
      OFFSETS:	42-46
       TOKENS:	P219W14-P219W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEorik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	$aEor+ik
        GLOSS:	hair/hairs/hair-piece+your

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P219W12
      OFFSETS:	47-48
       TOKENS:	P219W16-P219W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	دلكي
     IS_TRANS:	dlky
        INDEX:	P219W13
      OFFSETS:	49-53
       TOKENS:	P219W17-P219W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dal~ik_1]
   UNSPLITVOC:	(dal~ikiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	dal~ik+iy
        GLOSS:	rub/knead/massage/be massaged/stroke/massage and scrub+you

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P219W14
      OFFSETS:	54-57
       TOKENS:	P219W18-P219W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by/him/them/her+it

 INPUT STRING:	شعرك
     IS_TRANS:	$Erk
        INDEX:	P219W15
      OFFSETS:	58-62
       TOKENS:	P219W20-P219W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEorik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	$aEor+ik
        GLOSS:	hair/hairs/hair-piece+your

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P219W16
      OFFSETS:	63-66
       TOKENS:	P219W22-P219W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(liHad~)
          POS:	PREP+NOUN
          VOC:	li+Had~
        GLOSS:	for/to+stop/halt/end/extent/limit/level/border/frontier

 INPUT STRING:	الاطراف
     IS_TRANS:	AlATrAf
        INDEX:	P219W17
      OFFSETS:	67-74
       TOKENS:	P219W24-P219W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlATorAf)
          POS:	DET+NOUN
          VOC:	Al+ATorAf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	كانك
     IS_TRANS:	kAnk
        INDEX:	P219W18
      OFFSETS:	75-79
       TOKENS:	P219W25-P219W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka<in~_1]
   UNSPLITVOC:	(ka<in~ik)
          POS:	PSEUDO_VERB+PRON_2FS
          VOC:	ka<in~+ik
        GLOSS:	like/as though/as if+you

 INPUT STRING:	بتحطي
     IS_TRANS:	btHTy
        INDEX:	P219W19
      OFFSETS:	80-85
       TOKENS:	P219W27-P219W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(bitiHuT~iy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+HuT~+iy
        GLOSS:	[present-tense]+you+descend/land/set down/lower+you

 INPUT STRING:	بلسم
     IS_TRANS:	blsm
        INDEX:	P219W20
      OFFSETS:	86-90
       TOKENS:	P219W29-P219W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balosam_1]
   UNSPLITVOC:	(balosam)
          POS:	NOUN
          VOC:	balosam
        GLOSS:	balsam

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P220W1
      OFFSETS:	0-4
       TOKENS:	P220W1-P220W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	وبيتغسل
     IS_TRANS:	wbytgsl
        INDEX:	P220W2
      OFFSETS:	5-12
       TOKENS:	P220W2-P220W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitogasal_1]
   UNSPLITVOC:	(wibiyitogisil)
          POS:	CONJ+PROG_PART+IV3MS+IV_PASS
          VOC:	wi+bi+yi+togisil
        GLOSS:	and+[present tese.]+it+be cleaned

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P221W1
      OFFSETS:	0-6
       TOKENS:	P221W1-P221W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baEodiyn_1]
   UNSPLITVOC:	(wibaEodiyn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	لفيه
     IS_TRANS:	lfyh
        INDEX:	P221W2
      OFFSETS:	7-11
       TOKENS:	P221W3-P221W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laf~_1]
   UNSPLITVOC:	(lif~iyh)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3MS
          VOC:	lif~+iy+uh
        GLOSS:	wrap+you+it/him

 INPUT STRING:	كحكه
     IS_TRANS:	kHkh
        INDEX:	P221W3
      OFFSETS:	12-16
       TOKENS:	P221W5-P221W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaHokap_1]
   UNSPLITVOC:	(kaHokap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kaHok+ap
        GLOSS:	a cokie+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P221W4
      OFFSETS:	17-18
       TOKENS:	P221W6-P221W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	كملي
     IS_TRANS:	kmly
        INDEX:	P221W5
      OFFSETS:	19-23
       TOKENS:	P221W7-P221W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(kam~iliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	kam~il+iy
        GLOSS:	complete/finish+you

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P221W6
      OFFSETS:	24-28
       TOKENS:	P221W8-P221W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	NOUN
          VOC:	EAdiy
        GLOSS:	aggressive/hostile/ordinary/normal/regular/chaser/plain

 INPUT STRING:	الشور
     IS_TRANS:	Al$wr
        INDEX:	P221W7
      OFFSETS:	29-34
       TOKENS:	P221W9-P221W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Al$wr)
          POS:	FOREIGN
          VOC:	Al$wr
        GLOSS:	nogloss

 INPUT STRING:	واغسلي
     IS_TRANS:	wAgsly
        INDEX:	P221W8
      OFFSETS:	35-41
       TOKENS:	P221W10-P221W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gasal_1]
   UNSPLITVOC:	(wiAigosiliy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+Aigosil+iy
        GLOSS:	and+wach+you

 INPUT STRING:	جسمك
     IS_TRANS:	jsmk
        INDEX:	P221W9
      OFFSETS:	42-46
       TOKENS:	P221W12-P221W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jisom_1]
   UNSPLITVOC:	(jisomik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	jisom+ik
        GLOSS:	body/form/bodies/forms+your

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P222W1
      OFFSETS:	0-1
       TOKENS:	P222W1-P222W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P222W2
      OFFSETS:	2-5
       TOKENS:	P222W2-P222W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P222W3
      OFFSETS:	6-8
       TOKENS:	P222W3-P222W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تخلصي
     IS_TRANS:	txlSy
        INDEX:	P222W4
      OFFSETS:	9-14
       TOKENS:	P222W4-P222W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(tixal~aSiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+xal~aS+iy
        GLOSS:	you+purify/refine/clarify+you

 INPUT STRING:	جسمك
     IS_TRANS:	jsmk
        INDEX:	P222W5
      OFFSETS:	15-19
       TOKENS:	P222W5-P222W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jisom_1]
   UNSPLITVOC:	(jisomik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	jisom+ik
        GLOSS:	body/form/bodies/forms+your

 INPUT STRING:	وتشطفي
     IS_TRANS:	wt$Tfy
        INDEX:	P222W6
      OFFSETS:	20-26
       TOKENS:	P222W7-P222W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aTaf_1]
   UNSPLITVOC:	(witi$Tufiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+ti$Tuf+iy
        GLOSS:	and+wash+you

 INPUT STRING:	جسمك
     IS_TRANS:	jsmk
        INDEX:	P222W7
      OFFSETS:	27-31
       TOKENS:	P222W9-P222W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jisom_1]
   UNSPLITVOC:	(jisomik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	jisom+ik
        GLOSS:	body/form/bodies/forms+your

 INPUT STRING:	افتحي
     IS_TRANS:	AftHy
        INDEX:	P222W8
      OFFSETS:	32-37
       TOKENS:	P222W11-P222W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(AifotaHiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AifotaH+iy
        GLOSS:	open/conquer/be opened/be conquered+you

 INPUT STRING:	الكحكة
     IS_TRANS:	AlkHkp
        INDEX:	P222W9
      OFFSETS:	38-44
       TOKENS:	P222W12-P222W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaHokap_1]
   UNSPLITVOC:	(AlkaHokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kaHok+ap
        GLOSS:	the+a cokie+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P222W10
      OFFSETS:	45-46
       TOKENS:	P222W13-P222W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	اشطفيه
     IS_TRANS:	A$Tfyh
        INDEX:	P222W11
      OFFSETS:	47-53
       TOKENS:	P222W14-P222W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aTaf_1]
   UNSPLITVOC:	(Ai$Tufiyuh)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3MS
          VOC:	Ai$Tuf+iy+uh
        GLOSS:	wash+you+it

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P222W12
      OFFSETS:	54-56
       TOKENS:	P222W16-P222W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	شطقة
     IS_TRANS:	$Tqp
        INDEX:	P222W13
      OFFSETS:	57-61
       TOKENS:	P222W17-P222W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($Tqp)
          POS:	TYPO
          VOC:	$Tqp
        GLOSS:	nogloss

 INPUT STRING:	خفيفة
     IS_TRANS:	xfyfp
        INDEX:	P222W14
      OFFSETS:	62-67
       TOKENS:	P222W18-P222W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xafiyf_1]
   UNSPLITVOC:	(xafiyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xafiyf+ap
        GLOSS:	light/slight/sparse+[fem.sg.]

 INPUT STRING:	برضة
     IS_TRANS:	brDp
        INDEX:	P222W15
      OFFSETS:	68-72
       TOKENS:	P222W19-P222W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	زاي
     IS_TRANS:	zAy
        INDEX:	P222W16
      OFFSETS:	73-76
       TOKENS:	P222W20-P222W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as

 INPUT STRING:	البلسم
     IS_TRANS:	Alblsm
        INDEX:	P222W17
      OFFSETS:	77-83
       TOKENS:	P222W21-P222W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balosam_1]
   UNSPLITVOC:	(Albalosam)
          POS:	DET+NOUN
          VOC:	Al+balosam
        GLOSS:	the+balsam

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P223W1
      OFFSETS:	0-3
       TOKENS:	P223W1-P223W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves/soul/souls

 INPUT STRING:	خطوأت
     IS_TRANS:	xTw>t
        INDEX:	P223W2
      OFFSETS:	4-9
       TOKENS:	P223W2-P223W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(xTw>t)
          POS:	TYPO
          VOC:	xTw>t
        GLOSS:	nogloss

 INPUT STRING:	البلسم
     IS_TRANS:	Alblsm
        INDEX:	P223W3
      OFFSETS:	10-16
       TOKENS:	P223W3-P223W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balosam_1]
   UNSPLITVOC:	(Albalosam)
          POS:	DET+NOUN
          VOC:	Al+balosam
        GLOSS:	the+balsam

 INPUT STRING:	تحفة
     IS_TRANS:	tHfp
        INDEX:	P224W1
      OFFSETS:	0-4
       TOKENS:	P224W1-P224W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuHofap_1]
   UNSPLITVOC:	(tuHofap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuHof+ap
        GLOSS:	gift/museum article/gifts/museum articles+[fem.sg.]

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P224W2
      OFFSETS:	5-8
       TOKENS:	P224W2-P224W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P224W3
      OFFSETS:	9-12
       TOKENS:	P224W3-P224W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P225W1
      OFFSETS:	0-1
       TOKENS:	P225W1-P225W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	هاتي
     IS_TRANS:	hAty
        INDEX:	P225W2
      OFFSETS:	2-6
       TOKENS:	P225W2-P225W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAt_1]
   UNSPLITVOC:	(hAtiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	hAt+iy
        GLOSS:	give+you

 INPUT STRING:	فرشه
     IS_TRANS:	fr$h
        INDEX:	P225W3
      OFFSETS:	7-11
       TOKENS:	P225W3-P225W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furo$ap_1]
   UNSPLITVOC:	(furo$ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	furo$+ap
        GLOSS:	brush/brushes+[fem.sg.]

 INPUT STRING:	خشب
     IS_TRANS:	x$b
        INDEX:	P225W4
      OFFSETS:	12-15
       TOKENS:	P225W4-P225W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xa$abap_1]
   UNSPLITVOC:	(xa$ab)
          POS:	NOUN
          VOC:	xa$ab
        GLOSS:	wood

 INPUT STRING:	سنونها
     IS_TRANS:	snwnhA
        INDEX:	P225W5
      OFFSETS:	16-22
       TOKENS:	P225W5-P225W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(snuwnhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	snuwn+hA
        GLOSS:	teeth+its

 INPUT STRING:	خشب
     IS_TRANS:	x$b
        INDEX:	P225W6
      OFFSETS:	23-26
       TOKENS:	P225W7-P225W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[xa$ab_1]
   UNSPLITVOC:	(xa$ab)
          POS:	NOUN
          VOC:	xa$ab
        GLOSS:	wood

 INPUT STRING:	بحروف
     IS_TRANS:	bHrwf
        INDEX:	P225W7
      OFFSETS:	27-32
       TOKENS:	P225W8-P225W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Harof_1]
