 INPUT STRING:	ازاي
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	($y)
          POS:	FOREIGN
          VOC:	$y
        GLOSS:	nogloss

 INPUT STRING:	ونعت
     IS_TRANS:	wnEt
        INDEX:	P550W4
      OFFSETS:	9-13
       TOKENS:	P550W4-P550W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wnEt)
          POS:	FOREIGN
          VOC:	wnEt
        GLOSS:	nogloss

 INPUT STRING:	كوم
     IS_TRANS:	kwm
        INDEX:	P550W5
      OFFSETS:	14-17
       TOKENS:	P550W5-P550W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwm)
          POS:	FOREIGN
          VOC:	kwm
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P550W6
      OFFSETS:	18-22
       TOKENS:	P550W6-P550W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	بأحبها
     IS_TRANS:	b>HbhA
        INDEX:	P550W7
      OFFSETS:	23-29
       TOKENS:	P550W8-P550W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~ahA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+Hib~+hA
        GLOSS:	[present-tense]+I+love/like/want+it/them/her

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P550W8
      OFFSETS:	30-33
       TOKENS:	P550W11-P550W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P550W9
      OFFSETS:	34-36
       TOKENS:	P550W13-P550W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P550W10
      OFFSETS:	37-41
       TOKENS:	P550W14-P550W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	جت
     IS_TRANS:	jt
        INDEX:	P550W11
      OFFSETS:	42-44
       TOKENS:	P550W15-P550W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ja+t
        GLOSS:	occur/came/come/reach/arrive+it/they/she

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P550W12
      OFFSETS:	45-47
       TOKENS:	P550W16-P550W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+me

 INPUT STRING:	حأضعف
     IS_TRANS:	H>DEf
        INDEX:	P550W13
      OFFSETS:	48-53
       TOKENS:	P550W18-P550W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEaf_1]
   UNSPLITVOC:	(HaAaDoEaf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+DoEaf
        GLOSS:	will+I+weaken/be weakened/weaker/weakest/withdraw/have tuberculosis/contract tuberculosis/infect with tuberculosis

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P550W14
      OFFSETS:	53-54
       TOKENS:	P550W20-P550W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P550W15
      OFFSETS:	55-57
       TOKENS:	P550W21-P550W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P550W16
      OFFSETS:	58-62
       TOKENS:	P550W22-P550W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	ever/period/day/today/some days/some day/days

 INPUT STRING:	سترون
     IS_TRANS:	strwn
        INDEX:	P550W17
      OFFSETS:	63-68
       TOKENS:	P550W23-P550W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY-a_1]
   UNSPLITVOC:	(satarawona)
          POS:	FUT_PART+IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	sa+ta+r+awona
        GLOSS:	will+you [masc.pl.]+see/think/believe+[masc.pl.]

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P550W18
      OFFSETS:	69-72
       TOKENS:	P550W25-P550W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P550W19
      OFFSETS:	73-76
       TOKENS:	P550W27-P550W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+i

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P550W20
      OFFSETS:	77-79
       TOKENS:	P550W29-P550W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	أكلمهاش
     IS_TRANS:	>klmhA$
        INDEX:	P550W21
      OFFSETS:	80-87
       TOKENS:	P550W30-P550W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imhA$)
          POS:	IV1S+IV+IVSUFF_DO:3FS+NEG_PART
          VOC:	Aa+kal~im+hA+$
        GLOSS:	I+talk/speak/talk to+it/them/her+not

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P551W1
      OFFSETS:	0-1
       TOKENS:	P551W1-P551W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P552W1
      OFFSETS:	0-4
       TOKENS:	P552W1-P552W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P552W2
      OFFSETS:	5-6
       TOKENS:	P552W2-P552W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P553W1
      OFFSETS:	0-2
       TOKENS:	P553W1-P553W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P553W2
      OFFSETS:	3-5
       TOKENS:	P553W2-P553W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/him

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P553W3
      OFFSETS:	6-9
       TOKENS:	P553W4-P553W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	بنات
     IS_TRANS:	bnAt
        INDEX:	P553W4
      OFFSETS:	10-14
       TOKENS:	P553W5-P553W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAt)
          POS:	NOUN
          VOC:	banAt
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P553W5
      OFFSETS:	15-19
       TOKENS:	P553W6-P553W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P553W6
      OFFSETS:	20-24
       TOKENS:	P553W7-P553W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P553W7
      OFFSETS:	25-26
       TOKENS:	P553W8-P553W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	وعيون
     IS_TRANS:	wEywn
        INDEX:	P554W1
      OFFSETS:	0-5
       TOKENS:	P554W1-P554W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(wiEiyuwn)
          POS:	CONJ+NOUN
          VOC:	wi+Eiyuwn
        GLOSS:	and+eye/eyes/water spring/water source/water springs/water sources/notables/ain (Arabic letter)

 INPUT STRING:	زرقة
     IS_TRANS:	zrqp
        INDEX:	P554W2
      OFFSETS:	6-10
       TOKENS:	P554W3-P554W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>azraq_1]
   UNSPLITVOC:	(zaroqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zaroq+ap
        GLOSS:	blue+[fem.sg.]

 INPUT STRING:	وبتاع
     IS_TRANS:	wbtAE
        INDEX:	P554W3
      OFFSETS:	11-16
       TOKENS:	P554W4-P554W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(wibitAE)
          POS:	CONJ+NOUN
          VOC:	wi+bitAE
        GLOSS:	and+owners/something/belongings

 INPUT STRING:	بتاعة
     IS_TRANS:	btAEp
        INDEX:	P555W1
      OFFSETS:	0-5
       TOKENS:	P555W1-P555W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	owners/something/belongings+[fem.sg.]

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P555W2
      OFFSETS:	6-9
       TOKENS:	P555W2-P555W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P555W3
      OFFSETS:	10-11
       TOKENS:	P555W3-P555W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P556W1
      OFFSETS:	0-2
       TOKENS:	P556W1-P556W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P556W2
      OFFSETS:	2-3
       TOKENS:	P556W2-P556W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	محتاج
     IS_TRANS:	mHtAj
        INDEX:	P556W3
      OFFSETS:	4-9
       TOKENS:	P556W3-P556W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAj)
          POS:	ADJ
          VOC:	miHotAj
        GLOSS:	in need/wanting/requiring/needing/needy/poor/destitute/por

 INPUT STRING:	سيجارة
     IS_TRANS:	syjArp
        INDEX:	P556W4
      OFFSETS:	10-16
       TOKENS:	P556W4-P556W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyjArap_1]
   UNSPLITVOC:	(siyjArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyjAr+ap
        GLOSS:	cigarette/cigarettes+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P556W5
      OFFSETS:	17-18
       TOKENS:	P556W5-P556W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	الاقيش
     IS_TRANS:	AlAqy$
        INDEX:	P557W1
      OFFSETS:	0-6
       TOKENS:	P557W1-P557W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(AalAqiy$)
          POS:	IV1S+IV+NEG_PART
          VOC:	Aa+lAqiy+$
        GLOSS:	I+find+not

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P557W2
      OFFSETS:	7-12
       TOKENS:	P557W3-P557W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	سيجارة
     IS_TRANS:	syjArp
        INDEX:	P557W3
      OFFSETS:	13-19
       TOKENS:	P557W5-P557W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyjArap_1]
   UNSPLITVOC:	(siyjArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyjAr+ap
        GLOSS:	cigarette/cigarettes+[fem.sg.]

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P558W1
      OFFSETS:	0-2
       TOKENS:	P558W1-P558W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P558W2
      OFFSETS:	3-5
       TOKENS:	P558W2-P558W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأشرب
     IS_TRANS:	b>$rb
        INDEX:	P558W3
      OFFSETS:	6-11
       TOKENS:	P558W3-P558W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irib_1]
   UNSPLITVOC:	(bAa$orab)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+$orab
        GLOSS:	[present-tense]+I+drink/be drunk/be caused absorb/soak up/make drink/sip/water/sate

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P558W4
      OFFSETS:	12-13
       TOKENS:	P558W5-P558W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P559W1
      OFFSETS:	0-2
       TOKENS:	P559W1-P559W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P559W2
      OFFSETS:	2-3
       TOKENS:	P559W2-P559W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	شيشة
     IS_TRANS:	$y$p
        INDEX:	P559W3
      OFFSETS:	4-8
       TOKENS:	P559W3-P559W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iy$ap_1]
   UNSPLITVOC:	($iy$ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$iy$+ap
        GLOSS:	hookah/sheesha+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P559W4
      OFFSETS:	9-11
       TOKENS:	P559W4-P559W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P559W5
      OFFSETS:	12-13
       TOKENS:	P559W5-P559W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P560W1
      OFFSETS:	0-1
       TOKENS:	P560W1-P560W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P561W1
      OFFSETS:	0-2
       TOKENS:	P561W1-P561W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P561W2
      OFFSETS:	3-7
       TOKENS:	P561W2-P561W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P561W3
      OFFSETS:	8-11
       TOKENS:	P561W3-P561W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	كلمتيها
     IS_TRANS:	klmtyhA
        INDEX:	P561W4
      OFFSETS:	12-19
       TOKENS:	P561W4-P561W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtiyhA)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:3FS
          VOC:	kal~im+tiy+hA
        GLOSS:	talk/speak/talk to+you+it/them/her

 INPUT STRING:	قالت
     IS_TRANS:	qAlt
        INDEX:	P561W5
      OFFSETS:	20-24
       TOKENS:	P561W6-P561W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAl+it
        GLOSS:	said/say/be said/(for example)+it/they/she

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P561W6
      OFFSETS:	25-27
       TOKENS:	P561W7-P561W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P561W7
      OFFSETS:	28-31
       TOKENS:	P561W9-P561W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	وقلت
     IS_TRANS:	wqlt
        INDEX:	P561W8
      OFFSETS:	32-36
       TOKENS:	P561W10-P561W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqult)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+qul+t
        GLOSS:	and+said/say/be said/(for example)+I

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P561W9
      OFFSETS:	37-40
       TOKENS:	P561W12-P561W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+her/it

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P561W10
      OFFSETS:	41-44
       TOKENS:	P561W14-P561W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P561W11
      OFFSETS:	45-49
       TOKENS:	P561W15-P561W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P561W12
      OFFSETS:	49-50
       TOKENS:	P561W16-P561W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P561W13
      OFFSETS:	50-51
       TOKENS:	P561W17-P561W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P562W1
